timestamp,HMD0_tx,HMD0_ty,HMD0_tz,HMD0_rx,HMD0_ry,HMD0_rz,controller3_tx,controller3_ty,controller3_tz,controller3_rx,controller3_ry,controller3_rz,Controller3_button0,Controller3_button1,Controller3_button2,Controller3_button3,Controller3_button4,Controller3_button5,Controller3_button6,Controller3_button7,Controller3_button8,Controller3_button9,Controller3_button10,Controller3_button11,Controller3_button12,Controller3_button13,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY
0.0000000000,26.346004,7.497227,-18.479574,17.239248,-52.301510,-13.116504,-70.946869,81.636497,-57.992958,-7.720627,169.177383,11.902161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0166666667,26.355265,7.497227,-18.479574,17.239248,-52.301510,-13.125018,-70.946869,81.636497,-57.992958,-7.720627,169.177383,11.902161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0333333333,26.355547,7.497227,-18.479574,17.239248,-52.301510,-13.125757,-70.946869,81.635437,-57.992958,-7.720627,169.177383,11.902161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0500000000,26.355824,7.497227,-18.479574,17.239248,-52.301510,-13.126246,-70.946869,81.631935,-57.992958,-7.720627,169.177383,11.902161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0666666667,26.356104,7.497227,-18.479574,17.239248,-52.301510,-13.126530,-70.946869,81.630486,-57.992958,-7.720627,169.177383,11.902161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0833333333,26.356396,7.497375,-18.479574,17.239248,-52.301510,-13.126652,-70.946869,81.629776,-57.992958,-7.720627,169.177383,11.902161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1000000000,26.356911,7.497824,-18.479574,17.239248,-52.301510,-13.126657,-70.946869,81.629143,-57.992958,-7.720627,169.177383,11.902161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1166666667,26.359179,7.498271,-18.479574,17.239248,-52.301510,-13.126592,-70.946869,81.628586,-57.992958,-7.720627,169.177383,11.902161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1333333333,26.361664,7.498720,-18.479574,17.239248,-52.301510,-13.126497,-70.946869,81.628098,-57.992958,-7.720627,169.177383,11.902161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1500000000,26.363905,7.499174,-18.479574,17.239248,-52.301510,-13.126422,-70.946869,81.627693,-57.992958,-7.720627,169.177383,11.902161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
