timestamp,HMD0_tx,HMD0_ty,HMD0_tz,HMD0_rx,HMD0_ry,HMD0_rz,controller3_tx,controller3_ty,controller3_tz,controller3_rx,controller3_ry,controller3_rz,Controller3_button0,Controller3_button1,Controller3_button2,Controller3_button3,Controller3_button4,Controller3_button5,Controller3_button6,Controller3_button7,Controller3_button8,Controller3_button9,Controller3_button10,Controller3_button11,Controller3_button12,Controller3_button13,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY,controller6_tx,controller6_ty,controller6_tz,controller6_rx,controller6_ry,controller6_rz,Controller6_button0,Controller6_button1,Controller6_button2,Controller6_button3,Controller6_button4,Controller6_button5,Controller6_button6,Controller6_button7,Controller6_button8,Controller6_button9,Controller6_button10,Controller6_button11,Controller6_button12,Controller6_button13,Controller6_axisX,Controller6_axisY,Controller6_axisX,Controller6_axisY,Controller6_axisX,Controller6_axisY,Controller6_axisX,Controller6_axisY,Controller6_axisX,Controller6_axisY,generic7_tx,generic7_ty,generic7_tz,generic7_rx,generic7_ry,generic7_rz,generic8_tx,generic8_ty,generic8_tz,generic8_rx,generic8_ry,generic8_rz,generic9_tx,generic9_ty,generic9_tz,generic9_rx,generic9_ry,generic9_rz
0.0000000000,-5.497062,157.476074,-9.225124,-28.667292,-0.310335,-4.589067,23.167450,79.678322,-12.214935,-17.500343,11.042669,19.691031,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-30.353975,77.968338,-11.023998,-21.323755,-16.155704,-24.261393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.814178,9.951460,1.731765,51.891171,33.490807,-38.982765,-20.108604,9.873713,0.793380,-57.587696,-15.800143,-178.343201,-5.007839,96.872963,-8.983564,-4.110282,-23.364681,-78.423843
0.0166666667,-5.648207,157.481857,-9.234530,-28.572681,-0.509791,-4.654864,23.085714,79.739189,-12.287944,-17.455770,10.984967,19.784908,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-30.470388,77.994301,-11.119503,-21.121254,-16.378477,-24.261393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.806486,9.951460,1.731542,51.896309,33.491730,-38.841980,-20.106285,9.862671,0.806522,-57.637444,-15.800042,-178.313538,-5.154325,96.869446,-8.982277,-4.005455,-23.525688,-78.432426
0.0333333333,-5.809839,157.494049,-9.266230,-28.473721,-0.704251,-4.704270,22.961830,79.806976,-12.374290,-17.350142,10.982675,19.909292,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-30.605467,78.008293,-11.228804,-20.947237,-16.543089,-24.275974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.776686,9.951460,1.710591,51.937107,33.448940,-38.638889,-20.101883,9.852489,0.809575,-57.683537,-15.774432,-178.288940,-5.255925,96.813133,-8.953271,-3.825481,-23.753393,-78.436539
0.0500000000,-5.978413,157.507767,-9.296433,-28.384003,-0.885683,-4.717463,22.822126,79.889236,-12.456298,-17.232182,10.979259,20.049152,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-30.791821,78.027534,-11.336772,-20.817038,-16.634302,-24.283339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.744343,9.956781,1.702340,51.936367,33.454571,-38.435547,-20.113705,9.863824,0.827245,-57.743198,-15.773973,-178.239990,-5.363671,96.764450,-8.924784,-3.649342,-23.983942,-78.434250
0.0666666667,-6.148231,157.518478,-9.327557,-28.306810,-1.038947,-4.715657,22.651548,79.964989,-12.537155,-17.090948,11.008381,20.140493,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-31.011492,78.035095,-11.439303,-20.714993,-16.655678,-24.304390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.711472,9.964096,1.700172,51.951336,33.418484,-38.270489,-20.122814,9.863191,0.831944,-57.788757,-15.752310,-178.190643,-5.442228,96.698685,-8.866504,-3.459139,-24.134741,-78.455521
0.0833333333,-6.323546,157.523819,-9.362064,-28.253504,-1.171487,-4.675918,22.472462,80.045204,-12.604300,-16.964697,11.029431,20.143986,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-31.265524,78.040108,-11.551492,-20.627811,-16.630997,-24.348499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.675390,9.970860,1.697226,51.966328,33.425770,-38.061707,-20.128822,9.863340,0.836332,-57.830635,-15.719569,-178.149689,-5.549496,96.639229,-8.832239,-3.312233,-24.289602,-78.460808
0.1000000000,-6.487350,157.526001,-9.399795,-28.217993,-1.283415,-4.626110,22.273321,80.134911,-12.672399,-16.819080,11.036931,20.084694,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-31.535704,78.041298,-11.647605,-20.566154,-16.621403,-24.445868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.651655,9.976298,1.689540,51.976639,33.384884,-37.915752,-20.141609,9.863379,0.843750,-57.868809,-15.689253,-178.103836,-5.627968,96.589943,-8.764627,-3.139868,-24.412228,-78.502251
0.1166666667,-6.649020,157.527542,-9.444083,-28.195045,-1.381523,-4.563745,22.079311,80.234131,-12.746750,-16.653488,11.025580,20.076227,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-31.826027,78.035660,-11.738138,-20.538002,-16.648365,-24.571859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.630606,9.996378,1.655465,51.975193,33.320885,-37.794991,-20.144852,9.862989,0.832044,-57.891418,-15.670033,-178.068100,-5.705533,96.553238,-8.707728,-2.990212,-24.524515,-78.553078
0.1333333333,-6.808513,157.528961,-9.493494,-28.180902,-1.465282,-4.498047,21.889603,80.328728,-12.811655,-16.472958,11.010635,20.088949,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-32.114548,78.005539,-11.807355,-20.544975,-16.707987,-24.745028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.597092,9.996359,1.643021,51.961563,33.286270,-37.675610,-20.147160,9.860553,0.830252,-57.905052,-15.647877,-178.066193,-5.807168,96.518967,-8.669470,-2.845050,-24.623037,-78.569115
0.1500000000,-6.959502,157.526611,-9.533731,-28.176645,-1.536228,-4.429092,21.713821,80.413147,-12.859441,-16.283607,10.966676,20.110332,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-32.418964,77.983551,-11.876443,-20.549809,-16.773762,-24.963514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.591175,9.983674,1.637561,51.967827,33.207485,-37.579384,-20.148314,9.853646,0.841261,-57.922997,-15.635829,-178.064438,-5.899364,96.493965,-8.630837,-2.763875,-24.677124,-78.604553
0.1666666667,-7.096789,157.522720,-9.578298,-28.174791,-1.577624,-4.357390,21.533792,80.492020,-12.909536,-16.121134,10.912049,20.085846,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-32.710857,77.959396,-11.945454,-20.558870,-16.825655,-25.206377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.576523,9.988247,1.636363,51.892403,33.179523,-37.496204,-20.142729,9.848841,0.844058,-57.926922,-15.626652,-178.064484,-5.962616,96.461205,-8.583000,-2.684885,-24.695755,-78.655594
0.1833333333,-7.225724,157.510574,-9.617641,-28.180182,-1.589929,-4.283458,21.361742,80.558983,-12.935481,-16.014715,10.846122,20.013590,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-33.020912,77.934990,-12.009714,-20.597239,-16.847675,-25.429049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.579185,9.990067,1.635981,51.902771,33.114498,-37.497116,-20.141926,9.837256,0.849268,-57.932812,-15.613401,-178.067749,-6.033275,96.445541,-8.541695,-2.651039,-24.717442,-78.672707
