HMD0_tx,HMD0_ty,HMD0_tz,controller3_tx,controller3_ty,controller3_tz,controller6_tx,controller6_ty,controller6_tz,generic9_tx,generic9_ty,generic9_tz,generic7_tx,generic7_ty,generic7_tz,generic8_tx,generic8_ty,generic8_tz
18.857637,157.655655,-21.225574,26.035591,77.349014,-42.071636,0.438721,86.166122,-4.535996,19.647457,102.533966,-20.389498,29.173325,10.697595,-25.8521,28.088362,20.704985,-9.755292
18.349682,157.806335,-21.1709,24.610823,77.523514,-42.058117,0.649526,85.97422,-3.73582,19.237671,102.550316,-20.252045,29.181957,10.70663,-25.85153,25.95059,20.737894,-10.860584
17.842623,157.937088,-21.093014,23.190762,77.679543,-41.952389,0.890864,85.726326,-2.89869,18.714798,102.569199,-20.192429,29.201443,10.700861,-25.850998,23.733522,20.794121,-11.980356
17.33239,158.079468,-21.000214,21.77095,77.854317,-41.798309,1.117865,85.477669,-2.064833,18.294575,102.553467,-20.090792,29.203161,10.700531,-25.850334,21.298056,20.723486,-12.921754
16.805738,158.227509,-20.889671,20.348036,78.032501,-41.58807,1.325038,85.213348,-1.189485,17.810381,102.545517,-20.012316,29.208309,10.720193,-25.832293,18.926237,20.589493,-13.716887
16.297575,158.358139,-20.753906,18.946218,78.209587,-41.371769,1.541254,84.948647,-0.295626,17.333292,102.552734,-19.928875,29.215916,10.72276,-25.831387,16.206337,20.742531,-14.537043
15.793469,158.48085,-20.603277,17.55279,78.371071,-41.10289,1.738074,84.67318,0.615566,16.88405,102.507851,-19.807438,29.234678,10.709683,-25.830801,13.817205,20.414455,-14.956607
15.277062,158.595001,-20.433409,16.152918,78.546989,-40.841648,1.931895,84.421013,1.50289,16.376402,102.481628,-19.692348,29.243069,10.71064,-25.830915,11.452961,20.04738,-15.125144
14.736759,158.725693,-20.271221,14.756038,78.732895,-40.546444,2.115076,84.153008,2.380474,15.848717,102.46875,-19.611715,29.23118,10.730573,-25.832664,9.504029,19.18474,-14.906549
14.213602,158.821304,-20.081139,13.355735,78.921928,-40.235806,2.310027,83.889297,3.21532,15.324821,102.42543,-19.475086,29.237747,10.73083,-25.835199,7.274349,18.6126,-14.594332
13.694489,158.905457,-19.882849,11.960873,79.113365,-39.904327,2.522845,83.572289,4.028398,14.780029,102.373489,-19.362148,29.228447,10.704044,-25.830143,5.153894,17.929344,-14.048204
13.169719,158.956375,-19.668995,10.541857,79.315315,-39.559319,2.718371,83.262573,4.780966,14.233134,102.302208,-19.251637,29.198462,10.675019,-25.821426,3.061923,17.183117,-13.350449
12.650031,159.019043,-19.442652,9.118909,79.56649,-39.177818,2.948409,82.952232,5.502535,13.672208,102.213821,-19.147766,29.174093,10.668071,-25.808697,1.029706,16.34985,-12.415417
