HMD0_tx,HMD0_ty,HMD0_tz,controller3_tx,controller3_ty,controller3_tz,controller6_tx,controller6_ty,controller6_tz,generic9_tx,generic9_ty,generic9_tz,generic7_tx,generic7_ty,generic7_tz,generic8_tx,generic8_ty,generic8_tz
10.301663,107.566513,-23.674248,21.510633,62.514328,-27.541327,-2.8938,60.259895,-30.963518,10.860271,59.898685,16.887102,32.208862,12.757989,7.070005,-17.063902,8.964479,5.297457
10.3426,107.575302,-23.835304,21.735392,62.440502,-27.640001,-2.965917,59.993702,-30.985035,10.928687,59.892395,16.762526,32.202106,12.751047,7.066977,-17.024443,8.9284,5.323507
10.370477,107.724861,-23.965485,21.895031,62.515678,-27.713484,-3.06522,60.000362,-31.047775,11.001751,59.924664,16.597826,32.189842,12.75566,7.062462,-17.053141,8.976126,5.301796
10.397627,108.018532,-24.060345,21.962471,62.755859,-27.746759,-3.07276,60.126724,-31.050041,11.085377,60.007771,16.375439,32.184811,12.737631,7.060219,-17.032795,8.948284,5.304999
10.405034,108.483345,-24.119808,21.96409,63.134499,-27.776869,-3.112244,60.545582,-31.101202,11.172719,60.14122,16.099281,32.159321,12.730993,7.050838,-17.074984,9.018344,5.256038
10.422053,109.129387,-24.140846,21.900843,63.711281,-27.799171,-3.090395,61.096607,-31.133617,11.247415,60.329823,15.766657,32.129642,12.706046,7.031267,-17.054134,8.994856,5.249483
10.440886,109.959305,-24.093576,21.867922,64.49102,-27.888218,-3.052573,61.905617,-31.212719,11.299047,60.579571,15.370562,32.115715,12.696737,7.000619,-17.079315,9.068576,5.18404
10.454899,110.96582,-23.988707,21.83963,65.447685,-28.037004,-2.964886,62.871609,-31.27042,11.341384,60.889626,14.924524,32.100758,12.665277,6.983979,-17.041611,9.022408,5.177884
10.45616,112.166344,-23.801033,21.779369,66.590034,-28.193256,-2.869095,64.077858,-31.362043,11.373976,61.274815,14.417747,32.071461,12.63378,6.956105,-17.094845,9.097586,5.110659
10.456902,113.552025,-23.566933,21.703857,67.914886,-28.350056,-2.716841,65.424217,-31.440701,11.395928,61.732838,13.849938,32.047127,12.591599,6.911813,-17.06743,9.047924,5.071426
10.457192,115.151978,-23.254461,21.552864,69.3983,-28.468863,-2.581011,66.971588,-31.591854,11.421721,62.255421,13.227402,32.008881,12.548286,6.838797,-17.077568,9.098535,4.964592
10.457099,116.921135,-22.890696,21.354084,71.071747,-28.560795,-2.468023,68.694878,-31.775326,11.46915,62.880276,12.536381,31.960518,12.50134,6.776378,-17.062071,9.071778,4.901053
10.456687,118.847527,-22.445564,21.168058,72.924454,-28.651299,-2.404485,70.66423,-32.009289,11.519542,63.651611,11.785804,31.918322,12.473195,6.707422,-17.091681,9.084246,4.858243
10.445972,120.903069,-21.923426,21.017918,74.941338,-28.737064,-2.312539,72.800224,-32.195763,11.563383,64.587746,10.974566,31.851109,12.422974,6.652402,-17.095829,9.059254,4.830061
10.4167,123.131599,-21.337109,20.864334,77.129143,-28.857784,-2.229488,75.228439,-32.353939,11.620531,65.689613,10.102363,31.810814,12.372145,6.575068,-17.099714,9.073222,4.752591
10.392467,125.568832,-20.705973,20.694616,79.469688,-28.988922,-2.111549,77.835236,-32.450607,11.708988,66.985916,9.172169,31.711176,12.342057,6.498384,-17.102169,9.018009,4.690327
10.373836,128.201691,-20.039667,20.473351,81.883858,-29.003822,-1.935291,80.71212,-32.486671,11.564483,68.062164,8.648623,31.657923,12.306822,6.427185,-17.105213,8.965815,4.628458
10.370994,131.041946,-19.335684,20.175047,84.40612,-28.881243,-1.71541,83.732513,-32.422352,11.582027,69.172745,7.700635,31.620073,12.266759,6.452989,-17.134695,8.943412,4.532275
10.368442,134.070145,-18.599678,19.795183,86.98172,-28.667841,-1.445471,87.054581,-32.219898,11.487103,71.268875,6.803912,31.668596,12.322397,6.435839,-17.208548,9.049912,4.369945
10.328733,137.298447,-17.79409,19.336483,89.608925,-28.374411,-1.185221,90.496368,-31.888638,12.429893,72.580238,6.653447,31.677208,12.312766,6.385344,-17.218935,9.03976,4.282723
10.280823,140.712418,-16.966621,18.913565,92.15731,-28.122465,-0.866826,93.975815,-31.446423,12.323648,75.136131,5.762462,31.744305,12.331512,6.301816,-17.291897,9.128661,4.153163
10.242719,144.30867,-16.131855,18.572569,94.664536,-27.820213,-0.662047,97.502876,-31.073654,12.416502,77.678322,4.920723,31.793428,12.322759,6.220941,-17.332741,9.146145,4.009972
10.220395,148.069977,-15.336432,18.341545,97.225464,-27.397209,-0.301286,100.636391,-30.751808,13.097584,80.040054,4.495872,31.887537,12.36579,6.112899,-17.449078,9.244363,3.789598
10.218209,151.963669,-14.603846,18.331503,99.927582,-26.76144,-0.065116,103.532227,-30.405054,13.299951,83.255768,3.509506,31.982794,12.410268,5.984651,-17.588501,9.376497,3.515648
10.233237,155.945984,-13.968854,18.480425,102.601479,-26.144787,0.138096,106.144402,-29.897713,13.569345,86.716179,2.683369,32.187805,12.504132,5.797093,-17.855497,9.570286,3.12128
10.282565,159.946396,-13.407638,18.691946,104.977684,-25.620506,0.315745,108.262123,-29.22957,12.376752,91.68264,0.733336,32.503963,12.609353,5.509187,-18.075998,9.624589,2.592185
10.354985,163.875473,-12.95152,18.961271,107.050743,-25.239244,0.154417,110.102707,-28.635189,12.28415,95.915352,-0.41324,32.968689,12.808726,5.037861,-18.463932,10.162805,1.655028
10.445138,167.613358,-12.522948,19.227068,108.830437,-24.845041,-0.087902,111.894318,-28.244034,12.158075,100.222351,-1.524633,33.316628,13.081112,4.368142,-19.00441,11.422556,0.460914
10.536694,171.038681,-12.108433,19.581741,110.355553,-24.621506,-0.529367,113.207161,-28.10755,11.938303,104.631508,-2.541125,33.979763,14.32871,3.283663,-19.430353,13.802045,-0.698895
10.616023,174.028366,-11.687229,20.012545,111.800682,-24.326992,-0.956092,114.162262,-27.996704,11.975576,108.661484,-3.57054,34.771484,16.663748,2.740689,-18.646244,16.797663,-1.999997
10.726262,176.657028,-11.197001,20.534828,113.179367,-24.014521,-1.682677,115.197311,-27.989838,11.826582,112.48098,-4.388892,35.326447,19.474949,2.585639,-18.103243,19.459766,-2.698646
10.810529,178.931107,-10.802039,21.055704,114.275307,-23.680059,-2.279848,116.079765,-27.815763,11.886244,116.070999,-5.170949,35.711597,21.992941,3.445496,-17.839727,21.829443,-2.211054
10.932491,181.082672,-10.370155,21.611574,115.132011,-23.340401,-2.923712,116.809731,-27.470997,11.912086,119.016266,-5.576502,35.260841,23.601263,4.716766,-17.762573,23.341713,-1.41421
11.015057,183.070572,-10.019444,22.01586,115.598373,-22.999504,-3.201549,117.142006,-26.922447,11.927588,121.401596,-5.848632,34.38092,25.138348,6.068315,-17.401369,25.752087,-1.124385
11.114449,184.792419,-9.692343,22.42573,115.602264,-22.540739,-3.443226,117.178719,-26.334005,12.128345,123.237114,-5.453918,33.532936,26.654039,7.492094,-16.643204,27.435896,-0.259655
11.139764,186.188339,-9.42251,22.767885,115.424744,-21.926563,-3.626247,117.113312,-25.580763,12.248144,124.272636,-4.8967,32.532497,27.912504,8.85462,-15.945729,28.486668,0.691297
11.200136,187.355865,-9.110396,23.052315,115.15506,-21.19092,-3.718045,116.84697,-24.863136,12.460899,124.805687,-4.368211,31.721254,29.050678,9.955536,-15.564285,29.607811,1.676605
11.190727,188.247406,-8.787349,23.182987,114.884438,-20.465616,-3.818401,116.608315,-24.093475,12.579598,125.066643,-3.917718,30.898323,30.148148,10.693291,-15.286591,30.267218,2.289828
