HMD0_tx,HMD0_ty,HMD0_tz,controller3_tx,controller3_ty,controller3_tz,controller6_tx,controller6_ty,controller6_tz,generic9_tx,generic9_ty,generic9_tz,generic7_tx,generic7_ty,generic7_tz,generic8_tx,generic8_ty,generic8_tz
-7.261492,160.621429,-16.549091,15.547618,80.952713,-20.268354,-31.48811,78.837624,-13.568974,-4.716297,97.497078,-11.190232,20.891176,11.399432,-8.181044,-29.870987,9.664144,-5.363051
-7.300699,160.575974,-16.817844,15.334144,81.212814,-20.531998,-31.420792,79.250076,-13.972437,-4.643569,97.31295,-10.753245,20.886976,11.391435,-8.180545,-29.876348,9.673893,-5.367145
-7.349215,160.491074,-17.110722,15.075334,81.511978,-20.82729,-31.308924,79.739754,-14.440416,-4.591005,97.102028,-10.283125,20.878658,11.387779,-8.18128,-29.893572,9.685266,-5.379399
-7.39013,160.371536,-17.406708,14.779834,81.849953,-21.149418,-31.098974,80.312569,-14.96916,-4.513091,96.850166,-9.770031,20.888901,11.368267,-8.184294,-29.898687,9.683349,-5.385618
-7.427006,160.21965,-17.708542,14.452009,82.218925,-21.450966,-30.783546,80.985451,-15.501501,-4.43804,96.594727,-9.243407,20.893217,11.382587,-8.187828,-29.888926,9.688492,-5.372321
-7.471282,160.030426,-18.020014,14.052166,82.568909,-21.760094,-30.426073,81.586777,-16.058212,-4.345955,96.301857,-8.676414,20.879213,11.385877,-8.190043,-29.89011,9.690369,-5.371241
-7.517711,159.793274,-18.338184,13.596141,82.953651,-22.068073,-30.031626,82.172501,-16.624947,-4.208449,95.949799,-8.066979,20.869122,11.384838,-8.19171,-29.891264,9.687068,-5.377143
-7.555832,159.504349,-18.643358,13.087545,83.342728,-22.355427,-29.61796,82.717102,-17.173866,-4.079376,95.602852,-7.448097,20.866831,11.381997,-8.193095,-29.892338,9.696985,-5.385247
-7.602551,159.153381,-18.942261,12.514569,83.718552,-22.622198,-29.17231,83.253304,-17.72492,-3.929721,95.192177,-6.789311,20.868179,11.380706,-8.215894,-29.87532,9.677526,-5.378453
-7.629514,158.75621,-19.221865,11.886452,84.108192,-22.850567,-28.69556,83.819565,-18.273516,-3.793287,94.775024,-6.135824,20.882175,11.381016,-8.207216,-29.875868,9.683712,-5.380698
-7.665406,158.307602,-19.512751,11.227058,84.495308,-23.08083,-28.182152,84.488716,-18.851553,-3.662739,94.31469,-5.435276,20.883371,11.381569,-8.203097,-29.895491,9.70295,-5.381038
-7.680223,157.786484,-19.775749,10.545938,84.910606,-23.2868,-27.674179,85.194344,-19.470217,-3.534492,93.801598,-4.727953,20.884481,11.382353,-8.199602,-29.892586,9.706581,-5.380424
-7.710938,157.204117,-20.042175,9.85958,85.322983,-23.480532,-27.179703,85.871483,-20.038908,-3.408997,93.283943,-4.00143,20.885639,11.383358,-8.188365,-29.896545,9.721455,-5.381069
-7.737257,156.566711,-20.289724,9.166904,85.736877,-23.651188,-26.682652,86.471581,-20.615112,-3.295866,92.701759,-3.26556,20.887001,11.384569,-8.181848,-29.896547,9.727577,-5.379816
-7.773886,155.865631,-20.535341,8.476956,86.19751,-23.80262,-26.20776,87.000694,-21.16773,-3.189248,92.072243,-2.53194,20.896637,11.412169,-8.194788,-29.896536,9.7325,-5.378015
-7.785955,155.104172,-20.755629,7.810867,86.604553,-23.913612,-25.68598,87.497108,-21.63376,-3.090651,91.409149,-1.786975,20.900274,11.439543,-8.180009,-29.899008,9.754348,-5.361938
-7.814246,154.284195,-20.97773,7.145344,86.943199,-23.989698,-25.134539,88.013832,-22.066652,-2.965617,90.713287,-1.008673,20.903051,11.458674,-8.164718,-29.910521,9.78089,-5.350922
-7.829072,153.412827,-21.160381,6.480827,87.213974,-24.010578,-24.522022,88.406563,-22.392628,-2.883394,89.995644,-0.235023,20.911791,11.494802,-8.136362,-29.912579,9.780417,-5.334404
-7.844081,152.503403,-21.322451,5.831314,87.437523,-23.975176,-23.83341,88.738945,-22.610237,-2.795083,89.188019,0.560483,20.939796,11.582531,-8.087285,-29.885822,9.78009,-5.288104
-7.838439,151.549515,-21.455704,5.231627,87.588676,-23.911018,-23.14422,88.856888,-22.773478,-2.743926,88.483894,1.292059,20.973804,11.607598,-8.051541,-29.874447,9.802239,-5.282756
-7.840922,150.583176,-21.562347,4.643798,87.693619,-23.772642,-22.404907,88.820351,-22.873249,-2.759371,87.825607,1.904634,21.005564,11.635708,-8.0356,-29.825764,9.791862,-5.274195
-7.843095,149.597458,-21.638071,4.09772,87.71579,-23.620058,-21.644836,88.646141,-22.853621,-2.715848,87.153107,2.563837,20.980658,11.693309,-8.023545,-29.814304,9.806096,-5.262787
-7.827168,148.593658,-21.678566,3.589762,87.64547,-23.410656,-20.840094,88.402283,-22.762547,-2.742003,86.515289,3.163346,21.004538,11.745818,-7.989567,-29.790287,9.779409,-5.228689
-7.80421,147.561127,-21.674007,3.138322,87.426239,-23.19891,-20.083696,88.045372,-22.594404,-2.691505,85.847282,3.762267,21.044193,11.751759,-7.982049,-29.780426,9.784186,-5.226682
-7.78095,146.52298,-21.636568,2.66584,87.105911,-22.899977,-19.365931,87.552979,-22.389744,-2.699693,85.166649,4.288824,21.049143,11.757168,-7.985976,-29.747679,9.741392,-5.22483
-7.756977,145.474152,-21.543276,2.227013,86.770798,-22.551331,-18.652777,86.860878,-22.11484,-2.656092,84.466042,4.809007,21.053661,11.76432,-7.990386,-29.753948,9.757236,-5.223421
-7.719303,144.434555,-21.412853,1.826096,86.422722,-22.095367,-17.979439,86.088661,-21.748627,-2.909429,83.974701,5.08166,21.049404,11.745266,-7.968908,-29.743898,9.735588,-5.235373
-7.676175,143.391113,-21.216879,1.486163,86.059883,-21.591351,-17.317518,85.388657,-21.276312,-2.876731,83.236961,5.547204,21.068457,11.72386,-7.975016,-29.730484,9.721375,-5.245978
-7.621874,142.385147,-20.981859,1.217278,85.709007,-21.053379,-16.723824,84.764626,-20.73444,-2.855408,82.520943,6.021517,21.072001,11.711782,-7.979176,-29.723888,9.704005,-5.234302
-7.591711,141.405441,-20.715246,0.977037,85.290504,-20.590542,-16.219311,84.130569,-20.226694,-2.820843,81.743767,6.471943,21.053358,11.721339,-8.007723,-29.712294,9.688026,-5.247631
-7.530653,140.447433,-20.409111,0.812522,84.857407,-20.091301,-15.751769,83.430176,-19.619884,-2.745108,80.96891,6.952227,21.053596,11.7108,-8.009101,-29.730434,9.695333,-5.258283
-7.457204,139.499664,-20.039154,0.749323,84.424294,-19.602373,-15.329588,82.821381,-19.009457,-2.732891,80.197906,7.386398,21.053394,11.673905,-8.040248,-29.730219,9.699001,-5.260298
-7.376753,138.598068,-19.630545,0.722438,84.093475,-19.032337,-14.948238,82.209213,-18.368113,-2.62425,79.39637,7.866429,21.042561,11.646527,-8.054159,-29.716347,9.684657,-5.26177
-7.318723,137.738419,-19.175247,0.732223,83.859619,-18.455431,-14.664174,81.578018,-17.78204,-2.611056,78.68132,8.278983,20.989746,11.656272,-8.086367,-29.700319,9.687449,-5.263881
-7.2333,136.919479,-18.673771,0.821547,83.622581,-17.821798,-14.400445,80.815109,-17.187456,-2.590657,78.001373,8.698932,20.978827,11.635173,-8.117381,-29.681458,9.689889,-5.261873
-7.149053,136.141647,-18.116917,0.923668,83.276054,-17.248629,-14.163508,80.041458,-16.55917,-2.614954,77.410606,9.069027,20.951799,11.626005,-8.126701,-29.673073,9.703137,-5.271824
-7.042129,135.429947,-17.523497,1.021927,82.906906,-16.648512,-13.931895,79.251968,-15.934811,-2.538932,76.7603,9.510453,20.932283,11.60912,-8.159964,-29.652111,9.700045,-5.264161
-6.961244,134.764069,-16.876225,1.117767,82.516335,-16.064423,-13.803244,78.446701,-15.364541,-2.504587,76.190811,9.916642,20.869917,11.632778,-8.166074,-29.650295,9.719687,-5.267121
-6.859931,134.134354,-16.171921,1.207653,82.026917,-15.464331,-13.688904,77.596458,-14.812525,-2.515154,75.700798,10.303108,20.836197,11.613298,-8.205397,-29.661264,9.752011,-5.285475
-6.76215,133.555176,-15.410637,1.295124,81.518127,-14.831336,-13.633925,76.798424,-14.261689,-2.468852,75.172058,10.728899,20.823174,11.610267,-8.218833,-29.653824,9.736753,-5.280927
-6.646483,133.028778,-14.587797,1.365296,80.946709,-14.161237,-13.553843,76.028046,-13.652563,-2.81774,75.1492,10.79746,20.792221,11.606803,-8.242213,-29.652975,9.769083,-5.322685
-6.539752,132.554916,-13.716681,1.450575,80.370155,-13.521561,-13.484292,75.336639,-12.992798,-2.770474,74.685623,11.214861,20.77264,11.604089,-8.254808,-29.654907,9.763061,-5.344551
-6.424884,132.133072,-12.787755,1.571764,79.761665,-12.915332,-13.400757,74.687019,-12.286598,-3.120557,74.604233,11.274139,20.731901,11.592222,-8.262849,-29.646597,9.73485,-5.362486
-6.321533,131.759949,-11.808444,1.715575,79.097237,-12.362864,-13.37996,74.087372,-11.655881,-3.085102,74.209122,11.662603,20.715158,11.596221,-8.268956,-29.645306,9.728361,-5.367745
-6.198578,131.432098,-10.774382,1.850176,78.403938,-11.768652,-13.393954,73.50386,-11.020548,-3.308484,74.052238,11.833003,20.693911,11.601851,-8.27363,-29.650194,9.71462,-5.350499
-6.099846,131.139175,-9.691318,1.970026,77.738419,-11.122298,-13.388707,73.018288,-10.384097,-3.257715,73.701447,12.210349,20.663336,11.618853,-8.294746,-29.656227,9.71585,-5.347008
-5.986139,130.861206,-8.55335,2.093154,77.164803,-10.342374,-13.427737,72.636871,-9.745101,-3.360631,73.447578,12.474491,20.634367,11.611907,-8.300795,-29.641102,9.669255,-5.32609
-5.870968,130.580292,-7.375189,2.199795,76.640205,-9.589957,-13.43289,72.389877,-9.122457,-3.283917,73.10759,12.860876,20.633549,11.600644,-8.313466,-29.641777,9.669454,-5.324907
-5.765743,130.30777,-6.171593,2.32997,76.195122,-8.862589,-13.470472,72.216331,-8.552074,-3.344648,72.900887,13.134062,20.614807,11.596252,-8.331033,-29.653023,9.651755,-5.334012
-5.667196,130.045609,-4.941066,2.45825,75.825386,-8.202033,-13.52536,72.16584,-8.022934,-3.266755,72.600197,13.495943,20.588842,11.592395,-8.355412,-29.656305,9.658596,-5.331587
-5.565135,129.797684,-3.691281,2.655168,75.538734,-7.603179,-13.589466,72.153572,-7.492069,-3.306911,72.446243,13.775144,20.57794,11.596127,-8.34677,-29.678118,9.683968,-5.320829
-5.444475,129.54985,-2.435863,2.886633,75.25399,-7.031343,-13.665909,72.17865,-6.972899,-3.249039,72.216682,14.113695,20.600201,11.602151,-8.34475,-29.684685,9.699786,-5.304302
-5.336829,129.337509,-1.19679,3.106879,75.044044,-6.419498,-13.767388,72.202927,-6.461006,-3.305948,72.077637,14.369313,20.628458,11.610776,-8.342985,-29.686171,9.706158,-5.293737
-5.235901,129.149902,0.049259,3.248734,74.876236,-5.806411,-13.847392,72.163147,-5.960877,-3.278428,71.909294,14.673254,20.621943,11.655799,-8.356113,-29.692406,9.725426,-5.283918
-5.134437,128.982208,1.260002,3.41193,74.655334,-5.195945,-13.916441,72.149368,-5.471828,-3.29065,71.786697,14.923929,20.658621,11.655192,-8.340589,-29.713394,9.739714,-5.298427
-5.012237,128.820755,2.489204,3.592142,74.396439,-4.554441,-13.996605,72.141228,-4.969141,-3.237628,71.643524,15.237196,20.738174,11.639208,-8.332458,-29.728971,9.736205,-5.299137
-4.915952,128.710114,3.692539,3.745083,74.174896,-4.00329,-14.075398,72.135536,-4.485637,-3.210659,71.535439,15.549961,20.779009,11.637267,-8.329536,-29.749468,9.765981,-5.313497
-4.855074,128.652908,4.871801,3.831894,74.05555,-3.522642,-14.150813,72.111275,-3.997227,-3.185597,71.490654,15.832863,20.746759,11.689842,-8.35565,-29.752201,9.777065,-5.309436
-4.776409,128.603897,6.013785,3.972069,73.951843,-3.017446,-14.193524,72.064232,-3.480087,-3.114084,71.442444,16.172848,20.758629,11.713278,-8.359292,-29.805471,9.840439,-5.321772
-4.686007,128.553909,7.16108,4.155247,73.868439,-2.541984,-14.221937,72.015022,-2.969702,-3.106905,71.479477,16.4634,20.810226,11.687164,-8.367,-29.827528,9.854332,-5.321838
-4.609506,128.533539,8.273577,4.307017,73.835907,-2.100768,-14.241202,71.93898,-2.49073,-3.020512,71.479996,16.827696,20.805199,11.700829,-8.370896,-29.84864,9.879009,-5.322089
-4.55601,128.525513,9.35215,4.400852,73.822624,-1.703101,-14.250527,71.848412,-2.028553,-3.029525,71.540451,17.124247,20.773674,11.738587,-8.39201,-29.867519,9.891054,-5.32246
-4.485754,128.505692,10.387153,4.524473,73.802597,-1.278477,-14.237792,71.718246,-1.572585,-3.066469,71.703491,17.38246,20.769606,11.762047,-8.406401,-29.897411,9.92273,-5.346694
-4.403568,128.469101,11.418545,4.644428,73.766502,-0.845972,-14.228244,71.586395,-1.154252,-3.090295,71.764526,17.673237,20.79579,11.753394,-8.42547,-29.912027,9.931782,-5.364322
-4.333539,128.428497,12.401263,4.741972,73.723923,-0.433448,-14.20792,71.353951,-0.740405,-3.204884,71.979332,17.884361,20.793232,11.754802,-8.412391,-29.941139,9.954256,-5.380128
-4.26029,128.387589,13.361292,4.786273,73.6604,-0.09676,-14.17778,71.096497,-0.379003,-3.221942,72.038551,18.170099,20.765188,11.768048,-8.416834,-29.954994,9.957566,-5.385374
-4.169651,128.341492,14.265368,4.839164,73.528648,0.209716,-14.119301,70.776581,-0.009117,-3.244594,72.085594,18.442133,20.762863,11.777193,-8.436173,-29.983418,9.994545,-5.395071
