Actual_Waist_X,Actual_Waist_Y,Actual_Waist_Z,Actual_R_Foot_X,Actual_R_Foot_Y,Actual_R_Foot_Z,Actual_L_Foot_X,Actual_L_Foot_Y,Actual_L_Foot_Z,Pred_Waist_X,Pred_Waist_Y,Pred_Waist_Z,Pred_R_Foot_X,Pred_R_Foot_Y,Pred_R_Foot_Z,Pred_L_Foot_X,Pred_L_Foot_Y,Pred_L_Foot_Z
0.11972205000000001,1.00970825,-0.09012957,0.12647642,0.11430294,-0.062058730000000006,-0.08223728,0.15000546,0.03896665,0.3274682610169446,0.9808026413241033,0.1756081109033774,-0.3997840714847077,0.10037065536464879,0.19479162105681416,0.2525702485782802,0.10600582934548981,-0.5383723136809742
0.12446878,1.01147324,-0.09063463000000001,0.12668472,0.11447357999999999,-0.06198803,-0.07846233,0.1506293,0.01930993,0.33533399498252303,0.9819118661026011,0.1765974725287408,-0.3968483742955858,0.1008038800525635,0.19380865261240315,0.2513171271749993,0.1092041081892169,-0.5399625370669187
0.12960979,1.01341576,-0.09272919,0.1267987,0.11446379999999999,-0.06181765,-0.07472998,0.15004377,-0.00138264,0.3426984477286375,0.9834909182314275,0.17776067436221912,-0.39201998704436497,0.10210517332255202,0.19251062821018,0.24975891740954337,0.11219376567016834,-0.5393156769127297
0.13404895,1.0152040900000001,-0.09300416,0.12682202,0.11458997,-0.06151976000000001,-0.06930905,0.14882547000000002,-0.02220374,0.349083043756138,0.9850631518476434,0.17883026891260342,-0.3871017775599673,0.10384647871988648,0.19085585905941865,0.24724508714015725,0.1149085524822848,-0.5378948008282427
0.13888696,1.01675369,-0.0940462,0.12683495,0.1147247,-0.061143539999999996,-0.06376752,0.14703014,-0.043153620000000004,0.35464137183760513,0.9868746052242491,0.18001345979821926,-0.3812419837895205,0.10622505538474723,0.18895969867619453,0.24461672660429284,0.11715712412003071,-0.534946252445258
0.14338663000000001,1.01787605,-0.09371548,0.12684628,0.11489362,-0.060659330000000004,-0.05725716,0.14515858,-0.0635201,0.3591886566203159,0.9884832204964847,0.1810697857552956,-0.37581778318318987,0.10883423443558587,0.18681348595100966,0.24091203468745898,0.11894677239292203,-0.5318442409008627
0.14764876,1.01884636,-0.09432438,0.12724981,0.11486808,-0.06004021,-0.049702529999999995,0.14315886,-0.08383756,0.3634088985283109,0.9902432097794346,0.18223070064097396,-0.3705150151865045,0.11189467109694698,0.18454863885303213,0.2375551578709993,0.12024758142799366,-0.5281668828900459
0.15230928,1.01945976,-0.09342686,0.1274277,0.11515421999999999,-0.05922548,-0.042088679999999996,0.1415982,-0.10237277,0.36679172270167326,0.9918301556894182,0.1831875223430507,-0.3655037044015324,0.11506791237641462,0.18226052550823307,0.23327829375092174,0.12131059730566934,-0.524507501162854
0.15630621,1.0199366,-0.09324257,0.12759937000000002,0.11530355,-0.05865521,-0.03385332,0.14041708,-0.11989738,0.36963793244612275,0.9935071713412947,0.18430120380974663,-0.3609778643080204,0.1187431514195195,0.17978577951864072,0.22944157742802035,0.12163284984433731,-0.5202802169987556
0.15998229,1.0196560700000001,-0.09183659999999999,0.12761576,0.11545598,-0.057933490000000004,-0.026623519999999998,0.14040457,-0.13535056,0.3722394378223875,0.995097665792088,0.1852806221050601,-0.3558929430758659,0.12247410969067925,0.1772543095710396,0.22449422678169273,0.12212708148390101,-0.5157821502900182
0.16365013,1.01941635,-0.09111105,0.1277709,0.11585043,-0.05720345,-0.01880766,0.13931777,-0.14786891000000002,0.37418024137834394,0.9967420411480254,0.1864086579946213,-0.3517759874281418,0.12668372210695383,0.17454502406515104,0.22026001682474633,0.12161818636012697,-0.5110751586012926
0.16698153000000002,1.0190173299999998,-0.08917265,0.12779913,0.11613218,-0.0562155,-0.01226124,0.13925318,-0.15754435,0.37570095025814254,0.9982981564299066,0.18749979543808998,-0.34667743982114235,0.13101504572313608,0.1716817499148973,0.21491244665112924,0.12096891641712422,-0.5058028780483357
0.16994761,1.01884201,-0.08799013,0.12786426,0.11663615,-0.0552235,-0.006155119999999999,0.13808505000000001,-0.16553474,0.3764029010134382,0.9997779655102182,0.18863338963278664,-0.3421001697221067,0.13554351808169063,0.16877013606146457,0.20991295854211772,0.11941573014137727,-0.5003550480490803
0.17242996000000002,1.01872993,-0.08592516,0.12805676,0.11727304999999999,-0.054248700000000004,-0.0026124000000000004,0.13637403,-0.17046049,0.37684572495996355,1.0011969977670452,0.18974336570241976,-0.3369065980315377,0.1402273153672967,0.16570948589065593,0.20399414162469415,0.11773338717009066,-0.49459709716146394
0.17466829,1.01880257,-0.08474154,0.12823177,0.11779938,-0.053089069999999995,2.419e-05,0.13572529,-0.17410034,0.3764195116942206,1.0026419356274203,0.19098087390475527,-0.33229750347249215,0.14527107106789564,0.16260488296707673,0.19878805043969078,0.11507620404572146,-0.4884263348929555
0.17633299000000002,1.01878448,-0.08279104,0.12838938,0.11865487,-0.05168107,0.00140657,0.13487936,-0.1767197,0.37526152711734895,1.004039760780989,0.19225923188461858,-0.32709805923827323,0.15056353418918728,0.1593725711993068,0.1930475128220423,0.11206532887999951,-0.4815384816358931
0.17830465,1.018489,-0.08140637999999999,0.12870666,0.11915956,-0.050323339999999994,0.0019484799999999998,0.13391761000000002,-0.17909775,0.373345574878248,1.0054393628838711,0.19357063658439758,-0.32284633133702495,0.15602347837780392,0.1562984266895055,0.1881933251392886,0.10840736040720801,-0.4746245043203198
0.17956369,1.01839142,-0.07964214,0.12884052000000001,0.1197298,-0.04907005,0.0020301299999999998,0.13228692,-0.18071950999999997,0.3704423495254322,1.006759749086671,0.194912410886733,-0.31889304721569495,0.16168784121088273,0.15313589959060644,0.18334373663899056,0.10428334283885732,-0.4672712291583373
0.18074858,1.01822166,-0.07807114,0.12883075,0.12027971000000001,-0.04793751,0.0013022700000000001,0.1304284,-0.18175344,0.36635088196730614,1.008011611040421,0.1962864002896791,-0.3163120978062744,0.16759793203404774,0.14990405994895872,0.17917752417810529,0.0992797575295513,-0.4599118777292329
0.18126019,1.0176391599999999,-0.07653555,0.1287894,0.12051739,-0.0467012,0.00048857,0.12694494,-0.18164819999999998,0.36172575847574484,1.0091999372975526,0.19758733401052309,-0.3147685099671888,0.1735117060391576,0.14669325766730273,0.17533505442845182,0.09418930627609177,-0.4527394475542844
