timestamp,HMD0_tx,HMD0_ty,HMD0_tz,HMD0_rx,HMD0_ry,HMD0_rz,controller3_tx,controller3_ty,controller3_tz,controller3_rx,controller3_ry,controller3_rz,Controller3_button0,Controller3_button1,Controller3_button2,Controller3_button3,Controller3_button4,Controller3_button5,Controller3_button6,Controller3_button7,Controller3_button8,Controller3_button9,Controller3_button10,Controller3_button11,Controller3_button12,Controller3_button13,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY,controller4_tx,controller4_ty,controller4_tz,controller4_rx,controller4_ry,controller4_rz,Controller4_button0,Controller4_button1,Controller4_button2,Controller4_button3,Controller4_button4,Controller4_button5,Controller4_button6,Controller4_button7,Controller4_button8,Controller4_button9,Controller4_button10,Controller4_button11,Controller4_button12,Controller4_button13,Controller4_axisX,Controller4_axisY,Controller4_axisX,Controller4_axisY,Controller4_axisX,Controller4_axisY,Controller4_axisX,Controller4_axisY,Controller4_axisX,Controller4_axisY,generic7_tx,generic7_ty,generic7_tz,generic7_rx,generic7_ry,generic7_rz,generic8_tx,generic8_ty,generic8_tz,generic8_rx,generic8_ry,generic8_rz,generic9_tx,generic9_ty,generic9_tz,generic9_rx,generic9_ry,generic9_rz
0.0000000000,-4.682827,155.310730,-13.061512,-30.703733,3.578044,-2.041869,20.557833,78.759506,-15.847338,-8.284375,9.134738,16.759754,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-26.377285,77.105156,-14.805365,-10.692167,-16.752197,-23.582003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.274416,95.602051,-12.116366,-8.268786,24.831980,71.913338,20.219957,5.797541,-0.863719,60.531288,-1.156655,-16.368513,-20.603584,6.079137,-2.527338,-57.555286,2.417175,-165.601852
0.0166666667,-4.735848,155.305084,-13.061512,-30.726778,3.578044,-2.041762,20.423338,78.759201,-15.801618,-8.299275,9.293069,16.644123,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-26.475403,77.096359,-14.794131,-10.709320,-16.764881,-23.652769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.310216,95.591652,-12.116366,-8.324995,24.783066,71.910805,20.219957,5.797541,-0.863719,60.519474,-1.156655,-16.349663,-20.603584,6.080372,-2.527338,-57.563847,2.417175,-165.579285
0.0333333333,-4.797481,155.289749,-13.061512,-30.770140,3.580829,-2.035866,20.286837,78.740013,-15.750676,-8.302482,9.420647,16.568117,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-26.589191,77.082001,-14.783980,-10.762844,-16.748671,-23.697725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.389974,95.633354,-12.146264,-8.379540,24.739262,71.897339,20.219387,5.797406,-0.863719,60.506302,-1.158855,-16.328506,-20.608973,6.088833,-2.527338,-57.557968,2.416690,-165.564941
0.0500000000,-4.856750,155.267242,-13.061400,-30.822237,3.598871,-2.031409,20.159189,78.727837,-15.716303,-8.307618,9.532870,16.510183,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-26.705141,77.064514,-14.756845,-10.792220,-16.729479,-23.731909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.389153,95.595848,-12.113539,-8.436623,24.699869,71.878189,20.217928,5.796073,-0.863719,60.490509,-1.160854,-16.317894,-20.610620,6.068608,-2.527673,-57.584297,2.424085,-165.541275
0.0666666667,-4.922085,155.248886,-13.049050,-30.878557,3.628480,-2.028513,20.050209,78.724480,-15.686495,-8.288550,9.590663,16.473284,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-26.820124,77.064140,-14.766483,-10.810033,-16.658630,-23.776033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.462077,95.629219,-12.138975,-8.501954,24.660526,71.852142,20.216522,5.794745,-0.863719,60.484768,-1.162719,-16.307625,-20.611816,6.067557,-2.526105,-57.582424,2.430291,-165.545700
0.0833333333,-4.988138,155.230621,-13.044354,-30.935200,3.664142,-2.025711,19.952654,78.723190,-15.666167,-8.290679,9.651144,16.430580,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-26.944839,77.063820,-14.770021,-10.848924,-16.594069,-23.810076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.475139,95.617096,-12.115294,-8.550918,24.607784,71.825661,20.214788,5.793321,-0.863719,60.475273,-1.164833,-16.290985,-20.612814,6.065463,-2.523863,-57.598701,2.435318,-165.532745
0.1000000000,-5.056808,155.210342,-13.040983,-30.990688,3.713400,-2.019239,19.863243,78.722786,-15.651628,-8.269916,9.657654,16.417906,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-27.059008,77.063538,-14.779322,-10.886257,-16.537380,-23.845856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.542776,95.645073,-12.140460,-8.589381,24.563951,71.798218,20.212353,5.791740,-0.863719,60.462830,-1.167950,-16.287920,-20.613857,6.053211,-2.521926,-57.592648,2.440425,-165.548981
0.1166666667,-5.140525,155.200089,-13.037636,-31.037577,3.764865,-2.011139,19.776863,78.729523,-15.648726,-8.257568,9.652712,16.397526,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-27.170397,77.063293,-14.785004,-10.912075,-16.493282,-23.880987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.573424,95.626663,-12.126781,-8.623094,24.529011,71.769852,20.203859,5.790070,-0.866699,60.451893,-1.171940,-16.269558,-20.614891,6.058771,-2.521017,-57.618591,2.445780,-165.564621
0.1333333333,-5.208722,155.193558,-13.034262,-31.076468,3.828931,-2.005104,19.709690,78.743782,-15.646693,-8.232618,9.609464,16.369173,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-27.261930,77.063095,-14.790235,-10.960464,-16.488880,-23.871874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.647382,95.655807,-12.150999,-8.665232,24.498341,71.753235,20.203264,5.788276,-0.866982,60.434139,-1.174647,-16.256987,-20.615721,6.057639,-2.521181,-57.615837,2.452348,-165.567032
0.1500000000,-5.279999,155.182999,-13.028625,-31.103340,3.890025,-1.997666,19.641470,78.752701,-15.645495,-8.229623,9.601436,16.313793,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-27.350042,77.062920,-14.794656,-11.014274,-16.486837,-23.833248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.668295,95.643677,-12.131155,-8.687855,24.462797,71.750542,20.206467,5.786308,-0.866934,60.430599,-1.176951,-16.247154,-20.616596,6.057782,-2.521535,-57.629608,2.465152,-165.579758
