timestamp,HMD0_tx,HMD0_ty,HMD0_tz,HMD0_rx,HMD0_ry,HMD0_rz
0.0000000000,-26.404238,131.926590,-45.381962,78.994736,-16.143278,-1.592274
0.0166666667,-26.404238,131.926590,-45.381962,78.995789,-16.143278,-1.592274
0.0333333333,-26.404238,131.926224,-45.374485,79.007912,-16.143278,-1.592274
0.0500000000,-26.404238,131.924454,-45.371418,79.023148,-16.143278,-1.592371
0.0666666667,-26.404238,131.922729,-45.369411,79.034012,-16.143627,-1.594175
0.0833333333,-26.404238,131.920929,-45.367699,79.036255,-16.149778,-1.596200
0.1000000000,-26.404221,131.918915,-45.366367,79.037476,-16.157076,-1.598045
0.1166666667,-26.403313,131.916428,-45.365509,79.038452,-16.164207,-1.599307
0.1333333333,-26.402447,131.913315,-45.365215,79.035164,-16.170568,-1.599474
0.1500000000,-26.401602,131.910233,-45.365631,79.028618,-16.172909,-1.596307
0.1666666667,-26.400757,131.907608,-45.366714,79.019104,-16.174486,-1.592531
0.1833333333,-26.399889,131.904922,-45.368240,79.012009,-16.175735,-1.592027
0.2000000000,-26.398975,131.902512,-45.369980,78.999550,-16.176798,-1.593377
0.2166666667,-26.397993,131.900787,-45.371704,78.993362,-16.177820,-1.595506
0.2333333333,-26.396921,131.900040,-45.373188,78.991096,-16.177887,-1.597729
0.2500000000,-26.395727,131.899475,-45.370331,78.989616,-16.177046,-1.601176
0.2666666667,-26.393967,131.898956,-45.367195,78.993019,-16.176304,-1.607743
0.2833333333,-26.391756,131.898453,-45.364021,79.007660,-16.175617,-1.620077
0.3000000000,-26.389570,131.897980,-45.358395,79.023788,-16.174950,-1.630356
0.3166666667,-26.387877,131.897522,-45.352516,79.038193,-16.174257,-1.638158
0.3333333333,-26.387144,131.897110,-45.346958,79.050522,-16.173502,-1.642534
0.3500000000,-26.387026,131.896713,-45.344341,79.063316,-16.172644,-1.651456
0.3666666667,-26.387032,131.896332,-45.342731,79.069824,-16.171637,-1.653882
0.3833333333,-26.387146,131.895981,-45.341305,79.074257,-16.170446,-1.655769
0.4000000000,-26.387358,131.895645,-45.340069,79.077507,-16.168705,-1.657075
0.4166666667,-26.387648,131.895340,-45.339005,79.080589,-16.164129,-1.657761
0.4333333333,-26.388008,131.895065,-45.338100,79.083694,-16.159756,-1.657785
0.4500000000,-26.388422,131.894806,-45.337349,79.086555,-16.154211,-1.657184
0.4666666667,-26.388872,131.894577,-45.336731,79.090012,-16.147846,-1.656142
0.4833333333,-26.389349,131.894363,-45.336205,79.093536,-16.140213,-1.654853
0.5000000000,-26.389835,131.894165,-45.335678,79.098953,-16.132854,-1.653511
0.5166666667,-26.390322,131.894012,-45.335167,79.108818,-16.130358,-1.652310
0.5333333333,-26.390789,131.893860,-45.334660,79.121590,-16.128796,-1.652950
0.5500000000,-26.391226,131.893723,-45.334164,79.137352,-16.129944,-1.661630
0.5666666667,-26.391615,131.893631,-45.333675,79.149551,-16.135609,-1.670961
0.5833333333,-26.391947,131.893539,-45.333202,79.155411,-16.140232,-1.681305
0.6000000000,-26.390224,131.893463,-45.332741,79.155907,-16.143513,-1.689712
0.6166666667,-26.388508,131.893448,-45.332294,79.154015,-16.146641,-1.696899
0.6333333333,-26.386761,131.893494,-45.331863,79.151299,-16.149849,-1.698634
0.6500000000,-26.384712,131.893631,-45.331451,79.146873,-16.154123,-1.700274
0.6666666667,-26.381933,131.893829,-45.331055,79.135071,-16.161926,-1.701887
0.6833333333,-26.376499,131.894089,-45.330681,79.127892,-16.171404,-1.703540
0.7000000000,-26.372541,131.894394,-45.330326,79.125847,-16.181705,-1.705364
0.7166666667,-26.370228,131.894745,-45.329994,79.124573,-16.187778,-1.711926
0.7333333333,-26.367254,131.895111,-45.329681,79.123459,-16.192051,-1.714946
0.7500000000,-26.363482,131.895508,-45.329399,79.133667,-16.195139,-1.716344
0.7666666667,-26.361240,131.895920,-45.329136,79.135391,-16.199780,-1.717768
0.7833333333,-26.362305,131.896332,-45.328907,79.137039,-16.203907,-1.719208
0.8000000000,-26.364689,131.896729,-45.328701,79.138664,-16.206203,-1.720657
0.8166666667,-26.365732,131.897095,-45.328522,79.140335,-16.207928,-1.722106
0.8333333333,-26.366362,131.897446,-45.328377,79.142090,-16.209339,-1.723547
0.8500000000,-26.366934,131.897751,-45.328262,79.153160,-16.210659,-1.724981
0.8666666667,-26.367456,131.898010,-45.328182,79.155815,-16.211672,-1.726429
0.8833333333,-26.367941,131.898209,-45.328426,79.156799,-16.208557,-1.727874
0.9000000000,-26.368401,131.898346,-45.330784,79.149132,-16.205366,-1.729292
0.9166666667,-26.368845,131.898392,-45.334286,79.139816,-16.201080,-1.730614
0.9333333333,-26.369286,131.898331,-45.339642,79.125496,-16.192938,-1.726373
0.9500000000,-26.369732,131.897919,-45.342686,79.116882,-16.185358,-1.722310
0.9666666667,-26.370197,131.897186,-45.344696,79.110077,-16.183153,-1.720457
0.9833333333,-26.370693,131.896271,-45.346062,79.106186,-16.181318,-1.719091
