timestamp,trackingRef1_tx,trackingRef1_ty,trackingRef1_tz,trackingRef1_rx,trackingRef1_ry,trackingRef1_rz,HMD0_tx,HMD0_ty,HMD0_tz,HMD0_rx,HMD0_ry,HMD0_rz
0.0000000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.068684,133.366577,-41.091465,76.133606,13.960711,-1.591226
0.0166666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.066996,133.366577,-41.091465,76.133606,13.909348,-1.615968
0.0333333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.059954,133.366577,-41.091465,76.133606,13.866220,-1.639819
0.0500000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.049458,133.366577,-41.090179,76.136612,13.826937,-1.654305
0.0666666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.035812,133.366577,-41.083652,76.142990,13.793109,-1.668692
0.0833333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.024189,133.366577,-41.081459,76.145180,13.762882,-1.679865
0.1000000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.014814,133.366577,-41.080311,76.146736,13.735345,-1.688681
0.1166666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.006731,133.365921,-41.079338,76.139603,13.710024,-1.693934
0.1333333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.994877,133.358109,-41.078506,76.126656,13.687550,-1.699144
0.1500000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.980648,133.356247,-41.077782,76.113853,13.666053,-1.704993
0.1666666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.972824,133.355225,-41.077145,76.096260,13.646218,-1.712780
0.1833333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.967232,133.354507,-41.076553,76.093018,13.626712,-1.721855
0.2000000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.960573,133.354050,-41.075993,76.092484,13.611965,-1.733554
0.2166666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.953489,133.353821,-41.075420,76.092751,13.600905,-1.743304
0.2333333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.943670,133.353775,-41.074818,76.093086,13.594507,-1.754908
0.2500000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.931421,133.353882,-41.074150,76.092781,13.587241,-1.766208
0.2666666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.925089,133.354065,-41.072762,76.090958,13.576973,-1.781687
0.2833333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.922173,133.354355,-41.070370,76.087799,13.567252,-1.797633
0.3000000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.919315,133.354691,-41.067947,76.086761,13.554497,-1.814809
0.3166666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.914001,133.355118,-41.065506,76.096306,13.544946,-1.831083
0.3333333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.910212,133.355576,-41.060551,76.104996,13.534140,-1.847693
0.3500000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.908518,133.356094,-41.050434,76.113983,13.525520,-1.862475
0.3666666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.907070,133.356644,-41.047459,76.120522,13.516026,-1.875580
0.3833333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.905832,133.357208,-41.044514,76.129959,13.504084,-1.877847
0.4000000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.904770,133.357803,-41.040989,76.142700,13.501637,-1.879120
0.4166666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.903847,133.358383,-41.036606,76.161301,13.500536,-1.879866
0.4333333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.903027,133.358948,-41.032703,76.180717,13.499890,-1.880500
0.4500000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.902277,133.359512,-41.029335,76.199249,13.523026,-1.877663
0.4666666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.909958,133.360016,-41.026230,76.212822,13.561924,-1.872480
0.4833333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.916000,133.360504,-41.023266,76.226341,13.610781,-1.865991
0.5000000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.922209,133.360947,-41.020473,76.235153,13.666132,-1.855361
0.5166666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.932238,133.361313,-41.017761,76.237831,13.721253,-1.840027
0.5333333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.946503,133.361603,-41.015202,76.239265,13.774174,-1.822213
0.5500000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.956831,133.361816,-41.012638,76.232353,13.822485,-1.801590
0.5666666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.965088,133.361923,-41.010063,76.225624,13.870675,-1.781546
0.5833333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.973431,133.361816,-41.007492,76.222656,13.912790,-1.754806
0.6000000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.987553,133.361145,-41.004459,76.237007,13.951304,-1.724973
0.6166666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.998672,133.360031,-40.999577,76.259712,13.982123,-1.695089
0.6333333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.012125,133.358627,-40.990509,76.279327,14.010983,-1.673001
0.6500000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.018560,133.357147,-40.982224,76.296883,14.036131,-1.658157
0.6666666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.026892,133.355713,-40.973389,76.307480,14.059539,-1.643360
0.6833333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.035839,133.354919,-40.965649,76.320877,14.082416,-1.624461
0.7000000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.044739,133.356735,-40.958050,76.336006,14.105586,-1.604610
0.7166666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.047663,133.358765,-40.949821,76.355888,14.128455,-1.583156
0.7333333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.049271,133.360733,-40.940758,76.376694,14.150955,-1.573297
0.7500000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.050579,133.362396,-40.927547,76.399475,14.176269,-1.570741
0.7666666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.052240,133.363495,-40.922905,76.419235,14.206773,-1.568201
0.7833333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.055994,133.363968,-40.917072,76.438210,14.241020,-1.563526
0.8000000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.060112,133.364380,-40.904045,76.456268,14.284240,-1.558596
0.8166666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.061413,133.364746,-40.894615,76.475754,14.338424,-1.556794
0.8333333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.062460,133.365112,-40.886219,76.494530,14.405390,-1.555702
0.8500000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.063215,133.365463,-40.876705,76.517662,14.481359,-1.554640
0.8666666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.063641,133.365784,-40.866196,76.539192,14.567279,-1.557639
0.8833333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.063700,133.366089,-40.859123,76.556976,14.662975,-1.562084
0.9000000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.055172,133.366394,-40.853729,76.565468,14.773826,-1.573722
0.9166666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.052631,133.366669,-40.847687,76.570564,14.886074,-1.586077
0.9333333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.050579,133.366928,-40.839104,76.577507,15.003454,-1.604126
0.9500000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.048677,133.367142,-40.828915,76.586746,15.122075,-1.618253
0.9666666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.046694,133.367355,-40.824207,76.594208,15.245239,-1.636250
0.9833333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.042982,133.367554,-40.812958,76.601227,15.372501,-1.649543
1.0000000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.039162,133.367722,-40.802738,76.606712,15.508298,-1.669882
1.0166666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.032808,133.367859,-40.796543,76.610291,15.652303,-1.694237
1.0333333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.027147,133.367966,-40.788475,76.616035,15.814008,-1.729748
1.0500000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.021729,133.368073,-40.783783,76.624611,15.986012,-1.765989
1.0666666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.014750,133.368134,-40.776382,76.634804,16.172419,-1.810260
1.0833333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-30.004148,133.368179,-40.766876,76.642570,16.365320,-1.855882
1.1000000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.990999,133.368210,-40.760548,76.653465,16.569445,-1.907601
1.1166666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.982439,133.368195,-40.749073,76.666031,16.787418,-1.957447
1.1333333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.969641,133.368149,-40.742733,76.683952,17.030872,-2.013235
1.1500000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.955763,133.368088,-40.734940,76.711067,17.302471,-2.064904
1.1666666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.944084,133.367981,-40.724525,76.737297,17.604338,-2.119593
1.1833333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.932934,133.367874,-40.722832,76.745461,17.919172,-2.172904
1.2000000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.920292,133.367722,-40.722858,76.747871,18.243933,-2.234385
1.2166666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.912483,133.361649,-40.723240,76.737030,18.564217,-2.291088
1.2333333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.899195,133.356491,-40.735394,76.693001,18.878298,-2.353126
1.2500000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.893921,133.352493,-40.744026,76.639465,19.169945,-2.409632
1.2666666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.888968,133.346466,-40.750889,76.582092,19.434431,-2.467441
1.2833333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.886070,133.338440,-40.762791,76.525360,19.656775,-2.515252
1.3000000000,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.884569,133.329529,-40.778934,76.465347,19.844938,-2.558932
1.3166666667,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.883106,133.319183,-40.794975,76.400543,19.981289,-2.591303
1.3333333333,-119.393265,197.311508,-93.796249,170.822479,-52.508984,-179.970337,-29.881657,133.306534,-40.809223,76.324959,20.063030,-2.621087
