head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_1_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-9.887512,157.777252,-9.895517,19.473469,80.323456,-11.553635,-35.451176,78.191872,-13.410611,-7.935242,96.231308,-7.940194,23.550381,9.709301,1.448774,-19.963034,10.001361,0.8717
-10.188789,157.798721,-9.815495,19.40336,80.323212,-11.532381,-35.467751,78.241127,-13.547756,-8.209882,96.176292,-7.864154,23.548178,9.710078,1.438917,-19.944464,10.000418,0.870966
-10.520746,157.813477,-9.725928,19.323374,80.323097,-11.509808,-35.471485,78.271034,-13.666423,-8.534279,96.159172,-7.85854,23.538004,9.711052,1.418418,-19.930134,10.000684,0.870297
-10.874699,157.828217,-9.618909,19.228636,80.323395,-11.506548,-35.47374,78.280708,-13.766251,-8.809155,96.137001,-7.772292,23.532167,9.712075,1.392288,-19.924471,10.00121,0.869686
-11.254754,157.843109,-9.505857,19.131445,80.336281,-11.504715,-35.475639,78.286049,-13.853525,-9.20089,96.400963,-7.801361,23.523632,9.702085,1.332846,-19.923056,9.988293,0.869122
-11.655724,157.855911,-9.389908,19.02441,80.368065,-11.510139,-35.495483,78.30719,-13.949613,-9.435634,96.334099,-7.661208,23.489319,9.704152,1.259111,-19.922924,9.969879,0.868598
-12.071772,157.880295,-9.264458,18.90502,80.414886,-11.498747,-35.53241,78.290794,-13.994309,-10.01461,96.522415,-7.787374,23.467361,9.693488,1.161547,-19.925184,9.9501,0.868104
-12.495737,157.913818,-9.125203,18.780045,80.503433,-11.510084,-35.582817,78.274811,-14.006937,-10.367062,96.509514,-7.666235,23.43622,9.71662,1.031171,-19.941303,9.932512,0.867631
-12.932833,157.95723,-8.997068,18.644342,80.616058,-11.524156,-35.673897,78.275253,-14.008414,-10.909966,96.64901,-7.69061,23.39686,9.728488,0.892587,-19.944881,9.918018,0.86717
-13.364258,158.012665,-8.867526,18.51787,80.767693,-11.561968,-35.78429,78.27491,-14.013793,-11.299867,96.627838,-7.558774,23.373184,9.792768,0.657806,-19.957399,9.899776,0.87258
-13.808935,158.076065,-8.726196,18.36198,80.948227,-11.586866,-35.941273,78.274521,-13.996511,-11.782664,96.713417,-7.469658,23.303137,9.893312,0.369779,-19.983139,9.883224,0.882991
-14.237526,158.152451,-8.591288,18.196518,81.154488,-11.616184,-36.162212,78.295464,-13.975754,-12.12338,96.687233,-7.211493,23.228937,10.049009,-0.003485,-19.999454,9.881639,0.898619
-14.667152,158.222748,-8.453012,17.997887,81.370132,-11.610376,-36.386284,78.28936,-13.922266,-12.579389,96.800125,-7.081786,23.035074,10.233204,-0.371247,-20.008333,9.8803,0.905455
-15.082042,158.291489,-8.331616,17.793562,81.599243,-11.62827,-36.637749,78.271339,-13.857959,-13.702507,97.801208,-7.433243,22.772356,10.56461,-0.92298,-20.034241,9.858192,0.909383
-15.492994,158.346786,-8.201389,17.573013,81.828575,-11.612059,-36.891754,78.256927,-13.793543,-13.89336,97.816917,-7.171017,22.402109,11.190066,-1.521271,-20.054853,9.850232,0.923156
-15.88198,158.402298,-8.086014,17.360727,82.07177,-11.613119,-37.146931,78.240974,-13.729626,-13.882422,97.665901,-6.721344,21.888498,12.088862,-2.085911,-20.063902,9.849513,0.925682
-16.272129,158.4496,-7.971523,17.153767,82.302208,-11.602946,-37.392441,78.200607,-13.660439,-14.326477,97.439697,-6.728054,21.246906,13.367783,-2.602878,-20.100206,9.863309,0.928502
-16.638628,158.501633,-7.862582,16.96146,82.514473,-11.580003,-37.661755,78.161415,-13.610497,-14.366659,97.255363,-6.35047,20.364788,14.566391,-3.192959,-20.136675,9.879817,0.944556
-16.999411,158.546021,-7.747937,16.759253,82.694992,-11.507688,-37.922005,78.079025,-13.525332,-14.723413,97.314827,-6.295074,19.400911,15.901305,-3.655378,-20.162006,9.886086,0.967169
-17.328856,158.598663,-7.64671,16.545877,82.850555,-11.420494,-38.213924,77.995483,-13.453903,-14.836608,97.170258,-6.008334,18.270872,17.220066,-4.173598,-20.159851,9.889382,0.971011
-17.661774,158.644379,-7.549132,16.301805,82.999481,-11.29136,-38.503456,77.877815,-13.339457,-15.142155,97.326851,-5.900844,16.970966,18.527248,-4.786786,-20.152824,9.891246,0.973916
-17.962479,158.696472,-7.448571,16.030962,83.114571,-11.162029,-38.811157,77.764038,-13.234127,-15.32547,97.411903,-5.714229,15.666006,19.883053,-5.37398,-20.140051,9.893008,0.976791
-18.261656,158.740753,-7.337513,15.761992,83.234787,-11.005567,-39.127327,77.650452,-13.125443,-15.255968,97.16095,-5.252733,14.32649,21.198948,-6.038198,-20.137108,9.89499,0.981137
-18.539175,158.796143,-7.228311,15.480823,83.330681,-10.861529,-39.476353,77.565033,-13.064874,-15.490238,97.32177,-5.186513,13.054605,22.539352,-6.694286,-20.155752,9.897507,0.986642
-18.818941,158.850845,-7.107414,15.212294,83.434532,-10.716935,-39.829269,77.486176,-13.003409,-15.630013,97.436256,-5.065795,11.895361,23.95561,-7.466178,-20.173368,9.908896,0.995105
-19.064322,158.916367,-6.982858,14.953299,83.513657,-10.584765,-40.233147,77.484825,-13.022532,-15.844085,97.612373,-5.044913,10.754712,25.333858,-8.160444,-20.182611,9.921876,1.004565
-19.308168,158.974106,-6.852789,14.724402,83.581924,-10.460213,-40.629177,77.480415,-13.051057,-16.040695,97.759941,-5.01189,9.724419,26.77492,-8.955685,-20.181822,9.913169,1.017797
-19.53084,159.053787,-6.727365,14.508652,83.626114,-10.342352,-41.089794,77.578941,-13.158566,-16.173681,97.937454,-4.971757,8.66355,28.181032,-9.635441,-20.157495,9.907248,1.01826
-19.758329,159.145508,-6.637451,14.334048,83.662575,-10.253719,-41.513741,77.6521,-13.273925,-16.476357,98.166489,-5.070056,7.665829,29.605375,-10.36764,-20.146685,9.935694,0.992732
