timestamp,trackingRef1_tx,trackingRef1_ty,trackingRef1_tz,trackingRef1_rx,trackingRef1_ry,trackingRef1_rz,trackingRef2_tx,trackingRef2_ty,trackingRef2_tz,trackingRef2_rx,trackingRef2_ry,trackingRef2_rz,HMD0_tx,HMD0_ty,HMD0_tz,HMD0_rx,HMD0_ry,HMD0_rz,controller3_tx,controller3_ty,controller3_tz,controller3_rx,controller3_ry,controller3_rz,Controller3_button0,Controller3_button1,Controller3_button2,Controller3_button3,Controller3_button4,Controller3_button5,Controller3_button6,Controller3_button7,Controller3_button8,Controller3_button9,Controller3_button10,Controller3_button11,Controller3_button12,Controller3_button13,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY,controller6_tx,controller6_ty,controller6_tz,controller6_rx,controller6_ry,controller6_rz,Controller6_button0,Controller6_button1,Controller6_button2,Controller6_button3,Controller6_button4,Controller6_button5,Controller6_button6,Controller6_button7,Controller6_button8,Controller6_button9,Controller6_button10,Controller6_button11,Controller6_button12,Controller6_button13,Controller6_axisX,Controller6_axisY,Controller6_axisX,Controller6_axisY,Controller6_axisX,Controller6_axisY,Controller6_axisX,Controller6_axisY,Controller6_axisX,Controller6_axisY,generic7_tx,generic7_ty,generic7_tz,generic7_rx,generic7_ry,generic7_rz,generic8_tx,generic8_ty,generic8_tz,generic8_rx,generic8_ry,generic8_rz,generic9_tx,generic9_ty,generic9_tz,generic9_rx,generic9_ry,generic9_rz
0.0000000000,-142.453400,203.249283,-57.714523,169.688812,-59.026299,179.608154,103.396591,200.006180,86.673698,3.540706,56.338352,11.662089,39.845814,159.811752,38.136162,-18.710634,46.684418,-3.468169,42.058121,82.589531,19.407278,78.560524,68.048492,93.913521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.200314,75.959030,62.911640,-59.590111,24.947784,-33.544468,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.186218,98.235359,40.757519,-59.028748,-0.977955,-62.055820,60.286419,11.765623,27.195370,-63.306770,37.405514,-137.755539,44.052269,9.365999,54.385620,84.457100,34.491783,27.875938
0.0166666667,-142.453400,203.249283,-57.714523,169.688812,-59.026299,179.608154,103.396591,200.006180,86.673698,3.540706,56.338352,11.662089,39.667915,159.853867,38.304535,-18.469534,46.684418,-3.387116,42.150890,82.434807,19.528147,79.387466,67.785095,95.175674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.016743,75.912903,62.732552,-59.619995,25.132755,-33.575436,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.122948,98.160645,40.889687,-59.228245,-1.015604,-61.990059,60.308510,11.743008,27.214123,-63.307476,37.406128,-137.794785,44.109669,9.324096,54.410652,84.444466,34.503769,27.828783
0.0333333333,-142.453400,203.249283,-57.714523,169.688812,-59.026299,179.608154,103.396591,200.006180,86.673698,3.540706,56.338352,11.662089,39.493137,159.890976,38.470558,-18.241140,46.684418,-3.310287,42.242104,82.296349,19.617460,79.853371,67.561607,96.073280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.825392,75.877052,62.559704,-59.658604,25.526159,-33.538380,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.918102,98.165108,40.955315,-59.389130,-1.056091,-61.898754,60.307384,11.756165,27.210634,-63.308968,37.407337,-137.816772,44.130341,9.308016,54.417820,84.404747,34.508327,27.780815
0.0500000000,-142.453400,203.249283,-57.714523,169.688812,-59.026299,179.608154,103.396591,200.006180,86.673698,3.540706,56.338352,11.662089,39.314514,159.920792,38.630283,-18.035301,46.694706,-3.239677,42.331615,82.168068,19.662504,80.047165,67.342239,96.675873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.644424,75.856583,62.362465,-59.581089,25.888657,-33.500458,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.858940,98.084328,41.088337,-59.548615,-1.069674,-61.886547,60.332806,11.728586,27.221565,-63.309887,37.408562,-137.812531,44.154488,9.279513,54.429260,84.394012,34.523293,27.795794
0.0666666667,-142.453400,203.249283,-57.714523,169.688812,-59.026299,179.608154,103.396591,200.006180,86.673698,3.540706,56.338352,11.662089,39.129490,159.946198,38.785423,-17.848265,46.724525,-3.163683,42.409264,82.048500,19.706213,80.067085,67.192024,97.050117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.492498,75.858902,62.134285,-59.292778,26.307140,-33.418327,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.623005,98.107414,41.134430,-59.624226,-1.057691,-61.847218,60.315315,11.727537,27.211002,-63.299046,37.409786,-137.773315,44.167263,9.239925,54.438446,84.352989,34.532322,27.792316
0.0833333333,-142.453400,203.249283,-57.714523,169.688812,-59.026299,179.608154,103.396591,200.006180,86.673698,3.540706,56.338352,11.662089,38.945179,159.961227,38.943207,-17.689445,46.770985,-3.095054,42.473465,81.969765,19.713264,79.970398,67.059517,97.270470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.353447,75.868607,61.896992,-58.986874,26.691778,-33.334579,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.520832,98.054253,41.251163,-59.696159,-1.017995,-61.854038,60.321377,11.712253,27.229372,-63.299656,37.410980,-137.739807,44.199974,9.200051,54.464005,84.366737,34.548393,27.810823
0.1000000000,-142.453400,203.249283,-57.714523,169.688812,-59.026299,179.608154,103.396591,200.006180,86.673698,3.540706,56.338352,11.662089,38.749779,159.967148,39.086075,-17.551798,46.821888,-3.027633,42.497868,81.897232,19.723663,79.728935,66.960754,97.308624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.224504,75.886848,61.667408,-58.724812,27.195791,-33.142063,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.239265,98.140617,41.257637,-59.691048,-1.014619,-61.785645,60.307262,11.727791,27.228333,-63.284767,37.412136,-137.704865,44.250854,9.156728,54.499104,84.397537,34.521786,27.811052
0.1166666667,-142.453400,203.249283,-57.714523,169.688812,-59.026299,179.608154,103.396591,200.006180,86.673698,3.540706,56.338352,11.662089,38.558712,159.966049,39.219837,-17.451399,46.879219,-2.977691,42.515259,81.851883,19.680187,79.363571,66.872017,97.184944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.100269,75.873833,61.464317,-58.578739,27.654366,-32.821854,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.188652,98.051895,41.395905,-59.730408,-0.993043,-61.803040,60.322491,11.709875,27.225586,-63.273388,37.413219,-137.679642,44.334530,9.076432,54.539631,84.418106,34.538280,27.819210
0.1333333333,-142.453400,203.249283,-57.714523,169.688812,-59.026299,179.608154,103.396591,200.006180,86.673698,3.540706,56.338352,11.662089,38.352760,159.955505,39.347984,-17.374094,46.933929,-2.928381,42.501873,81.804253,19.658854,78.974167,66.796219,97.000999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.004101,75.821510,61.284264,-58.581253,28.027508,-32.463001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.843403,98.132088,41.369740,-59.736622,-1.032573,-61.716785,60.300148,11.720717,27.214317,-63.224224,37.397114,-137.639160,44.370106,9.028449,54.563320,84.416443,34.520927,27.830156
0.1500000000,-142.453400,203.249283,-57.714523,169.688812,-59.026299,179.608154,103.396591,200.006180,86.673698,3.540706,56.338352,11.662089,38.152634,159.930283,39.467121,-17.343000,46.984612,-2.889582,42.476181,81.787605,19.584684,78.485497,66.702606,96.662453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.914417,75.743690,61.112316,-58.662323,28.149643,-32.239231,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.663162,98.105347,41.435383,-59.778767,-1.062859,-61.703075,60.300812,11.704902,27.210100,-63.184628,37.386047,-137.597122,44.463589,8.932074,54.608715,84.391731,34.539097,27.806362
