head_x,head_y,head_z,r_controller_x,r_controller_x,r_controller_x,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
5.709586,158.814484,-5.449855,13.376804,13.376804,13.376804,-18.293222,84.860634,-2.208467,-1.881916,95.375267,16.412405,17.011229,9.682862,18.924355,-32.608109,14.827973,27.272596
5.330069,157.437531,-6.063149,12.561125,12.561125,12.561125,-18.096094,84.423584,-2.889773,-2.552837,95.224663,16.959021,17.057278,9.748408,18.990347,-32.69186,14.651099,27.356802
4.890275,155.895721,-6.678635,11.672215,11.672215,11.672215,-17.881672,83.893822,-3.652374,-2.826421,94.376884,17.950535,17.180508,9.805902,19.038225,-32.683228,14.5534,27.59462
4.425255,154.203781,-7.264593,10.746727,10.746727,10.746727,-17.734856,83.376114,-4.492842,-3.492723,93.706322,18.692844,17.296955,9.870077,19.100113,-32.67543,14.519749,27.654051
3.930135,152.40564,-7.854615,9.773668,9.773668,9.773668,-17.578276,82.726997,-5.338492,-3.60182,92.394371,20.041088,17.446636,9.97966,19.214672,-32.705101,14.557427,27.742912
3.419912,150.490646,-8.430702,8.795382,8.795382,8.795382,-17.511862,82.091957,-6.292054,-4.365283,91.53894,20.862471,17.780243,10.073103,19.398333,-32.804611,14.522986,27.794262
2.893207,148.471039,-8.970315,7.778485,7.778485,7.778485,-17.380919,81.386642,-7.17101,-4.57164,90.181824,22.240965,18.19677,10.152133,19.669455,-32.897583,14.515485,27.875557
2.342851,146.362381,-9.486313,6.735506,6.735506,6.735506,-17.317116,80.640533,-8.105528,-5.250448,89.243538,23.070139,18.702318,10.315052,19.977535,-32.976662,14.499214,27.964907
1.789367,144.205841,-9.963502,5.707779,5.707779,5.707779,-17.153402,79.747093,-8.946993,-5.340211,87.935486,24.268272,19.140142,10.283593,20.240158,-32.99955,14.488424,27.974947
1.272642,141.988647,-10.400267,4.785038,4.785038,4.785038,-17.008236,78.774979,-9.755098,-5.919164,87.031853,24.836767,19.315214,10.269683,20.106527,-33.039749,14.485776,28.000891
0.749304,139.752945,-10.778708,3.897297,3.897297,3.897297,-16.894432,77.759941,-10.535361,-5.849123,85.708427,25.969934,19.285385,10.287218,20.164871,-33.093052,14.466037,28.026102
0.211758,137.508011,-11.15207,2.91993,2.91993,2.91993,-16.870977,76.631943,-11.35309,-6.497955,84.772942,26.321077,19.295095,10.324751,20.227566,-33.134815,14.457701,28.048035
-0.360371,135.296082,-11.505011,2.108072,2.108072,2.108072,-16.880379,75.448914,-12.134247,-6.344363,83.332642,27.401545,19.282921,10.349706,20.29303,-33.172791,14.450298,28.071741
-0.78995,133.017395,-11.767311,1.518799,1.518799,1.518799,-16.966679,74.239204,-12.905553,-6.56189,82.291367,28.009483,19.433325,10.217222,20.281199,-33.183014,14.43582,28.084257
-1.259214,130.773911,-11.989801,0.952409,0.952409,0.952409,-17.120277,73.110756,-13.69133,-6.622078,81.052139,28.780972,19.426039,10.122283,20.313204,-33.208946,14.423438,28.103315
-1.750447,128.601242,-12.218593,0.381373,0.381373,0.381373,-17.309153,71.906685,-14.460501,-6.667995,79.909096,29.436037,19.300856,10.176119,20.296673,-33.20686,14.358774,28.093309
-2.23708,126.449844,-12.399166,-0.076277,-0.076277,-0.076277,-17.570503,70.830719,-15.232399,-6.79149,78.750793,30.002131,19.148445,10.178884,20.198578,-33.196339,14.30181,28.083614
-2.617915,124.286835,-12.523128,-0.374859,-0.374859,-0.374859,-17.804623,69.687523,-15.924155,-6.96174,77.516502,30.522594,19.274664,10.060345,20.192242,-33.171242,14.219902,28.091228
-3.031056,122.227119,-12.635417,-0.71117,-0.71117,-0.71117,-18.0807,68.64109,-16.608702,-7.127104,76.441246,30.991055,19.241062,9.984504,20.179127,-33.160511,14.181539,28.074587
-3.461415,120.26091,-12.761683,-1.081937,-1.081937,-1.081937,-18.272062,67.453346,-17.166994,-7.278295,75.426758,31.383432,19.151049,10.052894,20.069403,-33.132805,14.074246,28.112934
-3.870488,118.351753,-12.835265,-1.36803,-1.36803,-1.36803,-18.419495,66.387566,-17.604456,-7.393339,74.442085,31.741692,19.115822,10.004659,20.034739,-33.115833,14.005507,28.118361
-4.240557,116.489243,-12.901121,-1.583401,-1.583401,-1.583401,-18.477657,65.253532,-17.905787,-7.484813,73.477333,32.077728,19.132662,9.970093,20.014917,-33.070633,13.8715,28.157906
-4.607613,114.682495,-12.935311,-1.809055,-1.809055,-1.809055,-18.673273,64.341354,-18.242334,-7.580826,72.525261,32.385761,19.120989,9.908324,20.021351,-33.046429,13.793411,28.178286
-4.963264,112.932846,-12.987389,-2.014815,-2.014815,-2.014815,-18.80094,63.486099,-18.473806,-7.686067,71.590691,32.643951,19.070518,9.929446,19.930473,-32.984997,13.729505,28.212185
-5.352609,111.262634,-13.033488,-2.187891,-2.187891,-2.187891,-19.081427,62.776814,-18.815119,-7.783032,70.679947,32.842255,19.050287,9.872208,19.914227,-32.947399,13.66132,28.226442
-5.697333,109.639671,-13.081498,-2.311305,-2.311305,-2.311305,-19.30748,61.987602,-18.971045,-7.85761,69.792198,32.994484,19.043623,9.848471,19.890257,-32.921986,13.599756,28.228298
-6.042905,108.092537,-13.10583,-2.433621,-2.433621,-2.433621,-19.470585,61.252647,-19.081934,-7.908601,68.912567,33.115177,19.035896,9.79123,19.866915,-32.906837,13.544981,28.230091
-6.375766,106.605064,-13.154042,-2.467599,-2.467599,-2.467599,-19.552849,60.489731,-19.00849,-7.939155,68.045586,33.199421,19.094635,9.726029,19.814875,-32.898308,13.467462,28.231485
-6.71273,105.174286,-13.182524,-2.538946,-2.538946,-2.538946,-19.757259,59.894634,-18.950329,-7.962657,67.219124,33.234886,19.109674,9.653033,19.789387,-32.891182,13.420725,28.19775
-7.055758,103.808846,-13.237197,-2.60803,-2.60803,-2.60803,-19.843927,59.261112,-18.777746,-7.972395,66.43988,33.20496,19.074991,9.637764,19.754652,-32.863689,13.339964,28.203955
-7.408505,102.490639,-13.282155,-2.624559,-2.624559,-2.624559,-20.032661,58.702019,-18.633228,-7.969955,65.674271,33.101017,19.061312,9.566605,19.719849,-32.870163,13.322703,28.193588
-7.704329,101.285667,-13.356698,-2.587624,-2.587624,-2.587624,-20.177456,58.05521,-18.388214,-7.962359,64.895294,32.958389,19.134596,9.496351,19.677074,-32.86993,13.262885,28.174192
-8.012972,100.230637,-13.465941,-2.596877,-2.596877,-2.596877,-20.312254,57.478325,-18.210962,-7.948248,64.094933,32.80592,19.144047,9.428329,19.636147,-32.881927,13.328124,28.065353
-8.329499,99.356354,-13.605474,-2.651619,-2.651619,-2.651619,-20.493835,56.857422,-17.979113,-7.925705,63.310234,32.649155,19.124407,9.405481,19.620258,-32.916355,13.367565,27.991978
-8.615758,98.61187,-13.734788,-2.669255,-2.669255,-2.669255,-20.753744,56.357883,-17.871237,-7.881775,62.576729,32.457336,19.156061,9.329716,19.567806,-32.990673,13.44797,27.900784
-8.841861,98.003593,-13.848089,-2.613679,-2.613679,-2.613679,-21.031836,55.81395,-17.726721,-7.830791,61.929169,32.215538,19.267477,9.211573,19.530279,-33.047504,13.458512,27.80504
-9.0784,97.628326,-13.952554,-2.649552,-2.649552,-2.649552,-21.306318,55.404461,-17.65299,-7.798882,61.391716,31.915955,19.264193,9.150774,19.499687,-33.106251,13.541492,27.675772
-9.309276,97.528526,-14.055097,-2.743313,-2.743313,-2.743313,-21.581781,54.91674,-17.519852,-7.783967,60.95562,31.559458,19.220655,9.171623,19.444042,-33.131756,13.545866,27.619596
-9.475486,97.701721,-14.109807,-2.791094,-2.791094,-2.791094,-21.804493,54.628017,-17.47452,-7.764286,60.624264,31.144136,19.208965,9.143683,19.402891,-33.140488,13.49894,27.630535
-9.570815,98.148369,-14.139456,-2.766997,-2.766997,-2.766997,-22.01396,54.338318,-17.380905,-7.74095,60.419849,30.681904,19.256151,9.074331,19.367392,-33.168045,13.516559,27.579893
-9.614989,98.918503,-14.12607,-2.813917,-2.813917,-2.813917,-22.249031,54.286602,-17.406805,-7.71651,60.357948,30.187759,19.243906,9.006766,19.332687,-33.153591,13.428777,27.598694
