head_x,head_y,head_z,r_controller_x,r_controller_x,r_controller_x,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-5.703377,165.403793,3.476371,10.533974,10.533974,10.533974,-27.38629,82.516281,12.068297,-9.976076,97.595367,3.242929,21.519455,8.852745,12.518418,-17.347652,12.384024,23.990095
-6.526217,165.532166,3.83732,9.74365,9.74365,9.74365,-28.301497,82.649193,12.624428,-10.915276,97.740959,3.381174,21.359308,8.943114,12.208971,-17.307383,12.231814,24.09346
-7.320805,165.638397,4.209287,8.948589,8.948589,8.948589,-29.234634,82.789536,13.217677,-11.832755,97.88356,3.553889,21.092422,9.089561,11.841099,-17.318277,12.18396,24.12109
-8.11534,165.741058,4.565878,8.154985,8.154985,8.154985,-30.175022,82.925995,13.843224,-12.746485,98.033165,3.723,20.767071,9.229054,11.41296,-17.255438,12.044153,24.192198
-8.8695,165.81427,4.941672,7.441362,7.441362,7.441362,-31.110161,83.060509,14.477696,-13.688706,98.262474,3.856053,20.296154,9.464929,10.950094,-17.264116,12.046049,24.190531
-9.623839,165.870041,5.280514,6.769492,6.769492,6.769492,-32.04744,83.187912,15.127752,-14.537393,98.356499,4.039698,19.791178,9.709486,10.415886,-17.257336,12.027472,24.201727
-10.322865,165.898499,5.63817,6.162146,6.162146,6.162146,-32.963318,83.315811,15.762679,-15.342301,98.4076,4.236769,19.060207,10.195773,9.817856,-17.238216,12.023488,24.16946
-11.034636,165.92955,5.94309,5.397102,5.397102,5.397102,-33.887127,83.452438,16.395283,-16.138504,98.439606,4.403895,18.317307,10.900804,9.167377,-17.215515,11.993516,24.175215
-11.702986,165.944519,6.250203,4.618538,4.618538,4.618538,-34.793427,83.600075,17.007771,-17.208353,98.849716,4.303958,17.455572,11.767257,8.348762,-17.212055,11.995883,24.160166
-12.279803,165.929733,6.584372,3.726837,3.726837,3.726837,-35.700066,83.748184,17.608706,-17.987423,98.871269,4.439694,16.221548,12.89505,7.383166,-17.195866,11.964256,24.177578
-12.921529,165.954636,6.806859,2.788677,2.788677,2.788677,-36.593937,83.899521,18.202192,-19.060335,99.208115,4.338372,14.663674,13.706542,6.402162,-17.181217,11.978392,24.137999
-13.487726,165.95488,7.065861,1.825295,1.825295,1.825295,-37.483917,84.055374,18.800323,-19.874479,99.302437,4.449173,12.902794,14.515071,5.327145,-17.156507,11.962753,24.100931
-14.096302,165.963272,7.215236,0.801248,0.801248,0.801248,-38.360149,84.19519,19.423216,-20.906782,99.644012,4.319608,10.839835,15.171191,4.34768,-17.190638,11.974137,24.106915
-14.679973,165.965912,7.352273,-0.217244,-0.217244,-0.217244,-39.206493,84.334335,20.053425,-21.752094,99.829216,4.371757,8.497191,15.739875,3.253936,-17.185852,11.959025,24.093298
-15.273822,165.965668,7.430003,-1.279819,-1.279819,-1.279819,-40.016552,84.429916,20.703997,-22.52906,99.892448,4.478337,5.936866,16.056753,2.196727,-17.226915,11.962815,24.089638
