timestamp,trackingRef1_tx,trackingRef1_ty,trackingRef1_tz,trackingRef1_rx,trackingRef1_ry,trackingRef1_rz,trackingRef2_tx,trackingRef2_ty,trackingRef2_tz,trackingRef2_rx,trackingRef2_ry,trackingRef2_rz,HMD0_tx,HMD0_ty,HMD0_tz,HMD0_rx,HMD0_ry,HMD0_rz,controller3_tx,controller3_ty,controller3_tz,controller3_rx,controller3_ry,controller3_rz,Controller3_button0,Controller3_button1,Controller3_button2,Controller3_button3,Controller3_button4,Controller3_button5,Controller3_button6,Controller3_button7,Controller3_button8,Controller3_button9,Controller3_button10,Controller3_button11,Controller3_button12,Controller3_button13,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY,Controller3_axisX,Controller3_axisY,controller6_tx,controller6_ty,controller6_tz,controller6_rx,controller6_ry,controller6_rz,Controller6_button0,Controller6_button1,Controller6_button2,Controller6_button3,Controller6_button4,Controller6_button5,Controller6_button6,Controller6_button7,Controller6_button8,Controller6_button9,Controller6_button10,Controller6_button11,Controller6_button12,Controller6_button13,Controller6_axisX,Controller6_axisY,Controller6_axisX,Controller6_axisY,Controller6_axisX,Controller6_axisY,Controller6_axisX,Controller6_axisY,Controller6_axisX,Controller6_axisY,generic7_tx,generic7_ty,generic7_tz,generic7_rx,generic7_ry,generic7_rz,generic8_tx,generic8_ty,generic8_tz,generic8_rx,generic8_ry,generic8_rz,generic9_tx,generic9_ty,generic9_tz,generic9_rx,generic9_ry,generic9_rz
0.0000000000,-142.453400,203.249283,-57.714523,169.688812,-59.026299,179.608154,103.396591,200.006180,86.673698,3.540706,56.338352,11.662089,1.125288,161.096878,40.046665,-9.051722,0.524607,-0.035883,19.206024,112.640488,15.834772,39.410053,-10.006950,7.386618,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.761930,118.280365,16.059626,42.037457,14.975821,-15.721871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.663042,95.660210,44.570911,-7.335461,-26.076164,-75.786133,21.963293,10.758829,47.092842,15.281385,57.888195,-76.237053,-23.454212,16.659248,50.715374,49.631313,-22.247799,27.102251
0.0166666667,-142.453400,203.249283,-57.714523,169.688812,-59.026299,179.608154,103.396591,200.006180,86.673698,3.540706,56.338352,11.662089,1.283511,161.206512,40.010178,-8.997377,0.418658,-0.145044,19.365128,112.833931,15.803223,39.639648,-9.654795,7.000273,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.753460,118.426567,15.995549,41.892319,15.351969,-15.309611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.663042,95.753891,44.615818,-7.837901,-25.900578,-75.944824,21.973221,10.755492,47.076431,15.235084,57.888195,-76.301033,-23.415834,16.786221,50.669842,49.913284,-20.919422,27.518692
0.0333333333,-142.453400,203.249283,-57.714523,169.688812,-59.026299,179.608154,103.396591,200.006180,86.673698,3.540706,56.338352,11.662089,1.392852,161.296326,39.983082,-8.970128,0.301399,-0.258783,19.455257,112.996132,15.830244,39.848537,-9.298411,6.961385,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.747589,118.551888,15.952559,41.811958,15.655865,-14.771961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.668418,95.859711,44.622837,-8.253410,-25.684006,-76.183838,21.971958,10.737305,47.081219,15.336419,57.927494,-76.276558,-23.300360,16.947842,50.622250,50.425072,-19.980450,27.823879
0.0500000000,-142.453400,203.249283,-57.714523,169.688812,-59.026299,179.608154,103.396591,200.006180,86.673698,3.540706,56.338352,11.662089,1.468505,161.373016,39.974834,-8.951614,0.190715,-0.368395,19.471655,113.142700,15.860803,40.081245,-8.930799,7.260702,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.737684,118.689484,15.945569,41.875103,15.965618,-14.279817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.701824,95.964951,44.599380,-8.524569,-25.464716,-76.462151,21.987068,10.731944,47.085800,15.291716,57.948483,-76.385391,-22.860487,17.059656,50.639671,50.886307,-19.751593,29.086843
0.0666666667,-142.453400,203.249283,-57.714523,169.688812,-59.026299,179.608154,103.396591,200.006180,86.673698,3.540706,56.338352,11.662089,1.475795,161.435715,39.975510,-8.939919,0.088623,-0.463215,19.441763,113.246521,15.919053,40.220222,-8.582908,7.947760,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.733807,118.842583,15.972972,42.009495,16.322350,-13.872593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.763847,96.057091,44.538570,-8.648836,-25.218367,-76.759621,21.998600,10.726849,47.089355,15.376674,57.963322,-76.422577,-22.267878,17.109240,50.657204,50.170013,-21.494768,28.581406
0.0833333333,-142.453400,203.249283,-57.714523,169.688812,-59.026299,179.608154,103.396591,200.006180,86.673698,3.540706,56.338352,11.662089,1.431945,161.501602,39.984344,-8.921763,-0.003386,-0.548513,19.386747,113.376511,15.943174,40.351265,-8.456696,8.593768,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.732376,118.979271,15.967028,42.072884,16.650370,-13.576279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.864906,96.126411,44.454784,-8.638595,-24.961794,-77.043381,22.007103,10.720639,47.086750,15.306100,57.920578,-76.626434,-21.649328,17.120539,50.636375,49.869404,-22.796848,29.033810
0.1000000000,-142.453400,203.249283,-57.714523,169.688812,-59.026299,179.608154,103.396591,200.006180,86.673698,3.540706,56.338352,11.662089,1.332408,161.535629,40.010918,-8.881977,-0.074556,-0.607659,19.363018,113.480286,15.979730,40.300438,-8.489506,9.076175,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.740866,119.099327,15.967125,42.023857,16.869619,-13.366927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.002226,96.165207,44.355625,-8.497165,-24.761272,-77.263481,22.025661,10.710180,47.077080,15.392138,57.892242,-76.694221,-21.088818,17.111423,50.681602,49.532860,-24.017368,29.053902
0.1166666667,-142.453400,203.249283,-57.714523,169.688812,-59.026299,179.608154,103.396591,200.006180,86.673698,3.540706,56.338352,11.662089,1.190676,161.562347,40.050446,-8.812279,-0.129351,-0.651517,19.409847,113.659752,16.012936,40.315826,-8.767955,9.195277,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.736031,119.211006,15.927818,41.952194,17.009489,-13.185382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.174449,96.160896,44.241970,-8.278279,-24.619226,-77.401360,22.040123,10.690224,47.063164,15.318060,57.780792,-76.861710,-20.646637,17.032888,50.749851,49.452534,-25.020594,28.066778
0.1333333333,-142.453400,203.249283,-57.714523,169.688812,-59.026299,179.608154,103.396591,200.006180,86.673698,3.540706,56.338352,11.662089,1.004293,161.569260,40.113571,-8.707446,-0.166112,-0.688845,19.431398,113.953636,16.111988,40.491192,-9.112906,9.185713,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.748520,119.404175,15.959836,42.054314,17.056892,-12.919274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.372197,96.120811,44.118568,-8.034034,-24.534859,-77.470680,22.073677,10.704833,47.059208,15.351386,57.715565,-76.908104,-20.357546,17.054432,50.780380,49.851002,-25.233627,27.091795
0.1500000000,-142.453400,203.249283,-57.714523,169.688812,-59.026299,179.608154,103.396591,200.006180,86.673698,3.540706,56.338352,11.662089,0.768841,161.571426,40.162094,-8.552764,-0.198981,-0.721758,19.417328,114.329109,16.242212,41.003170,-9.500704,9.043875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.776350,119.659149,16.000555,42.481113,17.099920,-12.624131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.600632,96.045509,43.985954,-7.741629,-24.478540,-77.457199,22.079557,10.702219,47.059155,15.262415,57.587761,-77.040405,-20.370012,16.945066,50.872005,50.693115,-25.165085,25.716150
